feature,importance
xu100_fiyat_ma_farki,316
usdtry_ret_20d,262
xu100_atr_zscore,259
gun_fark_bilanco,248
vix_level,189
usdtry_ret_5d,174
vix_ret_3d,129
macd_hist,101
bb_width,100
natr_14,84
ret_20d,84
is_month_start_end,76
vol_ratio_20,73
obv,63
atr_14,63
macd_signal,53
obv_ret_5d,48
rsi_14,44
macd,43
mfi_14,40
bb_pband,34
rel_str_xu100_20d,34
xu100_rejim,32
ret_1d,28
rel_str_sektor_20d,23
ret_5d,23
bilanco_penceresi,21
stoch_k,18
stoch_d,15
rel_str_xu100_5d,14
day_of_week,11
rel_str_sektor_5d,11
sektor_kodu,4
hacim_soku,0
