tarih,portfoy_listesi,degisiklik,model_getiri_yuzde,bist100_getiri_yuzde,alfa,drift_durumu,makro_ozet,dd_kesici_aktif,portfoy_zirve_getiri,max_hisse_dd_pct,min_gun_kalan,uyari_hisseler
2026-09-07,"CLEBI.IS, KCAER.IS, LOGO.IS, MAVI.IS, MIATK.IS, MTRKS.IS, ONCSM.IS, PASEU.IS, SELEC.IS, VAKBN.IS","LOGO.IS, ONCSM.IS, KCAER.IS, MTRKS.IS, SELEC.IS, PASEU.IS, MIATK.IS, MAVI.IS, VAKBN.IS, CLEBI.IS girdi",%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,60,Yok
2026-09-11,"ALFAS.IS, CLEBI.IS, KCAER.IS, LOGO.IS, MAVI.IS, MIATK.IS, MTRKS.IS, ONCSM.IS, SELEC.IS, VAKBN.IS",PASEU.IS çıktı; ALFAS.IS girdi,%-1.66,%2.23,%-3.89,🟢,"Reel:%5.3, USD_Mom:%3.3",False,%-1.66,%-6.50,56,Yok
2026-09-15,"ALFAS.IS, CLEBI.IS, KCAER.IS, LOGO.IS, MAVI.IS, MIATK.IS, MTRKS.IS, ONCSM.IS, SELEC.IS, VAKBN.IS",değişiklik yok,%-8.53,%-3.97,%-4.55,🟢,"Reel:%5.3, USD_Mom:%3.2",False,%-10.04,%-18.96,52,Yok
2026-09-15,"ALFAS.IS, CLEBI.IS, KCAER.IS, LOGO.IS, MAVI.IS, MIATK.IS, MTRKS.IS, ONCSM.IS, SELEC.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.2",False,%-10.04,%-18.96,52,Yok
2026-09-15,"ALFAS.IS, CLEBI.IS, KCAER.IS, LOGO.IS, MAVI.IS, MIATK.IS, MTRKS.IS, ONCSM.IS, SELEC.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.2",False,%-10.04,%-18.96,52,Yok
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS","SELEC.IS, MIATK.IS çıktı; ASTOR.IS, FORTE.IS girdi",%-13.22,%-4.13,%-9.09,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
2026-09-21,"ALFAS.IS, ASTOR.IS, CLEBI.IS, FORTE.IS, KCAER.IS, LOGO.IS, MAVI.IS, MTRKS.IS, ONCSM.IS, VAKBN.IS",değişiklik yok,%0.00,%0.00,%0.00,🟢,"Reel:%5.3, USD_Mom:%3.4",False,%-21.94,%-42.64,46,"KCAER.IS (Zirveden %-23.1 | Zirve: 14.24, Son: 10.95), MTRKS.IS (Zirveden %-31.1 | Zirve: 33.16, Son: 22.86), ONCSM.IS (Zirveden %-42.6 | Zirve: 181.50, Son: 104.10)"
