strategy,cost_bps,signal_date,trade_date,selected,filled,turnover_two_sided_notional,cost_fraction
UNIVERSE_EQUAL_WEIGHT,0,2020-01-08,2020-01-09,60,60,1.0,0.0
UNIVERSE_EQUAL_WEIGHT,0,2020-04-01,2020-04-02,60,60,0.17081386039418406,0.0
UNIVERSE_EQUAL_WEIGHT,0,2020-07-01,2020-07-02,60,60,0.13881309748930498,0.0
UNIVERSE_EQUAL_WEIGHT,0,2020-09-28,2020-09-29,60,60,0.12494279052294355,0.0
UNIVERSE_EQUAL_WEIGHT,0,2020-12-22,2020-12-23,60,60,0.1537832775012261,0.0
UNIVERSE_EQUAL_WEIGHT,0,2021-03-18,2021-03-19,60,60,0.18648208377600523,0.0
UNIVERSE_EQUAL_WEIGHT,0,2021-06-17,2021-06-18,60,60,0.11592584117927449,0.0
UNIVERSE_EQUAL_WEIGHT,0,2021-09-17,2021-09-20,60,60,0.10309306160320507,0.0
UNIVERSE_EQUAL_WEIGHT,0,2021-12-13,2021-12-14,61,61,0.1598741746679186,0.0
UNIVERSE_EQUAL_WEIGHT,0,2022-03-07,2022-03-08,61,61,0.1848098625975793,0.0
UNIVERSE_EQUAL_WEIGHT,0,2022-06-03,2022-06-06,64,64,0.20404638177152135,0.0
UNIVERSE_EQUAL_WEIGHT,0,2022-09-01,2022-09-02,65,65,0.2035872143256569,0.0
UNIVERSE_EQUAL_WEIGHT,0,2022-11-24,2022-11-25,66,66,0.22617026643890453,0.0
UNIVERSE_EQUAL_WEIGHT,0,2023-02-22,2023-02-23,66,66,0.1691301516307126,0.0
UNIVERSE_EQUAL_WEIGHT,0,2023-05-22,2023-05-23,66,66,0.16794987132227118,0.0
UNIVERSE_EQUAL_WEIGHT,0,2023-08-17,2023-08-18,67,67,0.18895285439760195,0.0
UNIVERSE_EQUAL_WEIGHT,0,2023-11-10,2023-11-13,67,67,0.21171490089028208,0.0
UNIVERSE_EQUAL_WEIGHT,0,2024-02-06,2024-02-07,73,73,0.24344604560624852,0.0
