symbol,status,first_bar,first_positive_volume,last_bar,pre_first_bar_sessions,missing_sessions_during_observed_life,duplicate_dates,nan_ohlc,nonpositive_ohlc,zero_volume_after_first_positive,ohlc_inconsistent,extreme_abs_return_gt_50pct,corporate_action_provenance,listing_date_provenance
TUPRS.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
MGROS.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
SAHOL.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
TERA.IS,PROXY_UNVERIFIED,2022-12-26,2022-12-26,2026-09-15,1244,1,0,0,0,4,0,0,UNVERIFIED,FIRST_BAR_PROXY
FORTE.IS,PROXY_UNVERIFIED,2024-03-21,2024-03-21,2026-09-15,1554,2,0,0,0,3,0,0,UNVERIFIED,FIRST_BAR_PROXY
TUREX.IS,PROXY_UNVERIFIED,2021-04-08,2021-04-08,2026-09-15,816,1,0,0,0,5,0,0,UNVERIFIED,FIRST_BAR_PROXY
THYAO.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
ASELS.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,35,0,0,UNVERIFIED,FIRST_BAR_PROXY
KCHOL.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
BIMAS.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,1,0,0,0,27,0,0,UNVERIFIED,FIRST_BAR_PROXY
EREGL.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,1,0,0,0,25,0,0,UNVERIFIED,FIRST_BAR_PROXY
ISCTR.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
AKBNK.IS,PROXY_UNVERIFIED,2018-01-01,2018-01-02,2026-09-15,0,2,0,0,0,24,0,0,UNVERIFIED,FIRST_BAR_PROXY
