symbol,status,records,fixed_schedule_records,null_validity_date,duplicate_quarter,quarter_sequence_gaps,min_proxy_lag_days,max_proxy_lag_days,market_cap_fallback_records,future_last_capital_fallback_records,source,vintage_field_present,restatement_field_present,statement_basis_single_q_ytd_ttm_present
TUPRS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
MGROS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
SAHOL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TERA.IS,PROXY_UNVERIFIED,22,22,0,0,2,45,75,7,7,isyatirim_pit,False,False,False
FORTE.IS,PROXY_UNVERIFIED,20,20,0,0,1,45,75,7,7,isyatirim_pit,False,False,False
TUREX.IS,PROXY_UNVERIFIED,27,27,0,0,2,45,75,6,6,isyatirim_pit,False,False,False
THYAO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ASELS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
KCHOL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
BIMAS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
EREGL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ISCTR.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
AKBNK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
GARAN.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
YKBNK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
VAKBN.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
HALKB.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
TSKB.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
SKBNK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
SISE.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
FROTO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TOASO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
DOAS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
OTKAR.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TTRAK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
PGSUS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TAVHL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
CLEBI.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TCELL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TTKOM.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ENKAI.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ALARK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
PETKM.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
SASA.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
HEKTS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
GUBRF.IS,PROXY_UNVERIFIED,33,33,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ASTOR.IS,PROXY_UNVERIFIED,22,22,0,0,2,45,75,7,7,isyatirim_pit,False,False,False
EUPWR.IS,PROXY_UNVERIFIED,20,20,0,0,1,45,75,6,6,isyatirim_pit,False,False,False
GESAN.IS,PROXY_UNVERIFIED,28,28,0,0,1,45,75,8,8,isyatirim_pit,False,False,False
KONTR.IS,PROXY_UNVERIFIED,29,29,0,0,1,45,75,6,6,isyatirim_pit,False,False,False
CWENE.IS,PROXY_UNVERIFIED,20,20,0,0,1,45,75,6,6,isyatirim_pit,False,False,False
ALFAS.IS,PROXY_UNVERIFIED,23,23,0,0,2,45,75,8,8,isyatirim_pit,False,False,False
ARCLK.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
VESTL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
KRDMD.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
BRSAN.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
KCAER.IS,PROXY_UNVERIFIED,24,24,0,0,1,45,75,7,7,isyatirim_pit,False,False,False
CIMSA.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
OYAKC.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
BSOKE.IS,PROXY_UNVERIFIED,33,33,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
SOKM.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,1,1,isyatirim_pit,False,False,False
MAVI.IS,PROXY_UNVERIFIED,33,33,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
CCOLA.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
AEFES.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ULKER.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TABGD.IS,PROXY_UNVERIFIED,19,19,0,0,2,45,75,7,7,isyatirim_pit,False,False,False
BIZIM.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
EKGYO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ISGYO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TRGYO.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
AGHOL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
DOHOL.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TKFEN.IS,PROXY_UNVERIFIED,33,33,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
KORDS.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
SELEC.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
ECILC.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_pit,False,False,False
TURSG.IS,PROXY_UNVERIFIED,34,34,0,0,0,45,75,0,0,isyatirim_bank_pit,False,False,False
ANSGR.IS,PROXY_UNVERIFIED,33,33,0,0,1,45,75,0,0,isyatirim_bank_pit,False,False,False
