symbol,date,issue,status
TERA.IS,2020-03-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2021-03-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2021-11-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2022-03-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2022-05-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2022-08-15,fallback_uses_future_last_capital,INVALID
TERA.IS,2022-11-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2021-03-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2022-03-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2022-05-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2022-08-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2022-11-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2023-03-15,fallback_uses_future_last_capital,INVALID
FORTE.IS,2023-05-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2019-03-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2020-03-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2020-05-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2020-08-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2020-11-15,fallback_uses_future_last_capital,INVALID
TUREX.IS,2021-03-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2020-03-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2021-03-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2021-11-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2022-03-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2022-05-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2022-08-15,fallback_uses_future_last_capital,INVALID
ASTOR.IS,2022-11-15,fallback_uses_future_last_capital,INVALID
EUPWR.IS,2021-03-15,fallback_uses_future_last_capital,INVALID
EUPWR.IS,2022-03-15,fallback_uses_future_last_capital,INVALID
EUPWR.IS,2022-05-15,fallback_uses_future_last_capital,INVALID
