strategy,cost_bps,signal_date,trade_date,selected,filled,unfilled,cash_weight,turnover_two_sided_notional
UNIVERSE_EQUAL_WEIGHT,50,2020-01-08,2020-01-09,60,60,0,0.0,1.0
UNIVERSE_EQUAL_WEIGHT,50,2020-04-01,2020-04-02,60,60,0,0.0,0.1708138603941841
UNIVERSE_EQUAL_WEIGHT,50,2020-07-01,2020-07-02,60,60,0,0.0,0.13881309748930495
UNIVERSE_EQUAL_WEIGHT,50,2020-09-28,2020-09-29,60,60,0,0.0,0.12494279052294359
UNIVERSE_EQUAL_WEIGHT,50,2020-12-22,2020-12-23,60,60,0,0.0,0.1537832775012261
UNIVERSE_EQUAL_WEIGHT,50,2021-03-18,2021-03-19,60,60,0,0.0,0.1864820837760052
UNIVERSE_EQUAL_WEIGHT,50,2021-06-17,2021-06-18,60,60,0,0.0,0.11592584117927457
UNIVERSE_EQUAL_WEIGHT,50,2021-09-17,2021-09-20,60,60,0,0.0,0.10309306160320508
UNIVERSE_EQUAL_WEIGHT,50,2021-12-13,2021-12-14,61,61,0,0.0,0.15987417466791853
UNIVERSE_EQUAL_WEIGHT,50,2022-03-07,2022-03-08,61,61,0,0.0,0.1848098625975793
UNIVERSE_EQUAL_WEIGHT,50,2022-06-03,2022-06-06,64,64,0,0.0,0.20404638177152137
UNIVERSE_EQUAL_WEIGHT,50,2022-09-01,2022-09-02,65,65,0,0.0,0.20358721432565688
UNIVERSE_EQUAL_WEIGHT,50,2022-11-24,2022-11-25,66,66,0,0.0,0.22617026643890456
UNIVERSE_EQUAL_WEIGHT,50,2023-02-22,2023-02-23,66,66,0,0.0,0.16913015163071263
UNIVERSE_EQUAL_WEIGHT,50,2023-05-22,2023-05-23,66,66,0,0.0,0.1679498713222712
UNIVERSE_EQUAL_WEIGHT,50,2023-08-17,2023-08-18,67,67,0,0.0,0.18895285439760195
UNIVERSE_EQUAL_WEIGHT,50,2023-11-10,2023-11-13,67,67,0,0.0,0.21171490089028203
UNIVERSE_EQUAL_WEIGHT,50,2024-02-06,2024-02-07,73,73,0,0.0,0.2434460456062486
UNIVERSE_EQUAL_WEIGHT,50,2024-05-07,2024-05-08,76,76,0,0.0,0.19557594978361448
UNIVERSE_EQUAL_WEIGHT,50,2024-08-05,2024-08-06,77,77,0,0.0,0.19073184355922837
UNIVERSE_EQUAL_WEIGHT,50,2024-10-30,2024-10-31,77,77,0,0.0,0.13227573669616274
UNIVERSE_EQUAL_WEIGHT,50,2025-01-24,2025-01-27,79,79,0,0.0,0.1714720278688428
UNIVERSE_EQUAL_WEIGHT,50,2025-04-22,2025-04-24,87,87,0,0.0,0.26944839761352785
MOMENTUM_12_1_TOP10,50,2020-01-08,2020-01-09,10,10,0,0.0,1.0
MOMENTUM_12_1_TOP10,50,2020-04-01,2020-04-02,10,10,0,0.0,0.9797369473903461
MOMENTUM_12_1_TOP10,50,2020-07-01,2020-07-02,10,10,0,0.0,0.8259574100355214
MOMENTUM_12_1_TOP10,50,2020-09-28,2020-09-29,10,10,0,0.0,0.6492686699811415
MOMENTUM_12_1_TOP10,50,2020-12-22,2020-12-23,10,10,0,0.0,0.6843329457098497
MOMENTUM_12_1_TOP10,50,2021-03-18,2021-03-19,10,10,0,0.0,0.8392019045659348
MOMENTUM_12_1_TOP10,50,2021-06-17,2021-06-18,10,10,0,0.0,0.853609816594739
MOMENTUM_12_1_TOP10,50,2021-09-17,2021-09-20,10,10,0,0.0,0.46381072715558674
MOMENTUM_12_1_TOP10,50,2021-12-13,2021-12-14,10,10,0,0.0,0.6491955866025534
MOMENTUM_12_1_TOP10,50,2022-03-07,2022-03-08,10,10,0,0.0,1.104272949365681
MOMENTUM_12_1_TOP10,50,2022-06-03,2022-06-06,10,10,0,0.0,0.8594647154525427
MOMENTUM_12_1_TOP10,50,2022-09-01,2022-09-02,10,10,0,0.0,0.677900444948059
MOMENTUM_12_1_TOP10,50,2022-11-24,2022-11-25,10,10,0,0.0,0.8532115144548761
MOMENTUM_12_1_TOP10,50,2023-02-22,2023-02-23,10,10,0,0.0,0.6325396068505207
MOMENTUM_12_1_TOP10,50,2023-05-22,2023-05-23,10,10,0,0.0,0.86380829379239
MOMENTUM_12_1_TOP10,50,2023-08-17,2023-08-18,10,10,0,0.0,0.6281746861928096
MOMENTUM_12_1_TOP10,50,2023-11-10,2023-11-13,10,10,0,0.0,1.0998152574914368
MOMENTUM_12_1_TOP10,50,2024-02-06,2024-02-07,10,10,0,0.0,1.0932494489737898
MOMENTUM_12_1_TOP10,50,2024-05-07,2024-05-08,10,10,0,0.0,1.2402483408363585
MOMENTUM_12_1_TOP10,50,2024-08-05,2024-08-06,10,10,0,0.0,0.8720790013072695
MOMENTUM_12_1_TOP10,50,2024-10-30,2024-10-31,10,10,0,0.0,1.2251785935212363
MOMENTUM_12_1_TOP10,50,2025-01-24,2025-01-27,10,10,0,0.0,1.061286346088558
MOMENTUM_12_1_TOP10,50,2025-04-22,2025-04-24,10,10,0,0.0,1.0464095862143956
