symbol,year,category,bars,max_run,zero_return,nonzero_return,possible_suspension
AEFES.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
AEFES.IS,2018,MISSING_VOLUME_ONLY,1,1,1,0,0
AEFES.IS,2018,UNKNOWN,4,1,4,0,0
AEFES.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
AEFES.IS,2019,UNKNOWN,5,1,5,0,0
AEFES.IS,2020,UNKNOWN,1,1,1,0,0
AEFES.IS,2024,UNKNOWN,1,1,1,0,0
AEFES.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
AGHOL.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
AGHOL.IS,2018,UNKNOWN,5,1,5,0,0
AGHOL.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
AGHOL.IS,2019,UNKNOWN,5,1,5,0,0
AGHOL.IS,2024,UNKNOWN,1,1,1,0,0
AGHOL.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
AGROT.IS,2024,UNKNOWN,1,1,1,0,0
AGROT.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
AKBNK.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
AKBNK.IS,2018,UNKNOWN,5,1,5,0,0
AKBNK.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
AKBNK.IS,2019,UNKNOWN,5,1,5,0,0
AKBNK.IS,2020,UNKNOWN,1,1,1,0,0
AKBNK.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ALARK.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
ALARK.IS,2018,UNKNOWN,5,1,5,0,0
ALARK.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
ALARK.IS,2019,UNKNOWN,5,1,5,0,0
ALARK.IS,2020,UNKNOWN,1,1,1,0,0
ALARK.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ALFAS.IS,2023,UNKNOWN,1,1,1,0,0
ALFAS.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ALVES.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ALVES.IS,2026,UNKNOWN,1,1,1,0,0
ANSGR.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
ANSGR.IS,2018,UNKNOWN,5,1,5,0,0
ANSGR.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
ANSGR.IS,2019,UNKNOWN,5,1,5,0,0
ANSGR.IS,2020,UNKNOWN,1,1,1,0,0
ANSGR.IS,2024,UNKNOWN,1,1,1,0,0
ANSGR.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ARCLK.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
ARCLK.IS,2018,UNKNOWN,5,1,5,0,0
ARCLK.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ARCLK.IS,2019,MISSING_VOLUME_ONLY,3,3,3,0,0
ARCLK.IS,2019,UNKNOWN,5,1,5,0,0
ARCLK.IS,2020,UNKNOWN,1,1,1,0,0
ARCLK.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ASELS.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,15,11,15,0,15
ASELS.IS,2018,UNKNOWN,5,1,5,0,0
ASELS.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
ASELS.IS,2019,UNKNOWN,5,1,5,0,0
ASELS.IS,2020,UNKNOWN,1,1,1,0,0
ASELS.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ASTOR.IS,2023,UNKNOWN,1,1,1,0,0
ASTOR.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
BIMAS.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
BIMAS.IS,2018,MISSING_VOLUME_ONLY,2,1,2,0,0
BIMAS.IS,2018,UNKNOWN,3,1,3,0,0
BIMAS.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
BIMAS.IS,2019,UNKNOWN,5,1,5,0,0
BIMAS.IS,2020,UNKNOWN,1,1,1,0,0
BIMAS.IS,2024,UNKNOWN,1,1,1,0,0
BIMAS.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
BIMAS.IS,2026,UNKNOWN,2,1,2,0,0
BINHO.IS,2024,UNKNOWN,1,1,1,0,0
BINHO.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
BIZIM.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
BIZIM.IS,2018,UNKNOWN,5,1,5,0,0
BIZIM.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
BIZIM.IS,2019,UNKNOWN,5,1,5,0,0
BIZIM.IS,2020,UNKNOWN,1,1,1,0,0
BIZIM.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
BRSAN.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
BRSAN.IS,2018,UNKNOWN,5,1,5,0,0
BRSAN.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
BRSAN.IS,2019,UNKNOWN,5,1,5,0,0
BRSAN.IS,2020,UNKNOWN,1,1,1,0,0
BRSAN.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
BSOKE.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
BSOKE.IS,2018,UNKNOWN,5,1,5,0,0
BSOKE.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
BSOKE.IS,2019,UNKNOWN,5,1,5,0,0
BSOKE.IS,2020,UNKNOWN,1,1,1,0,0
BSOKE.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CANTE.IS,2024,UNKNOWN,1,1,1,0,0
CANTE.IS,2025,MISSING_VOLUME_ONLY,2,1,0,2,0
CANTE.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CCOLA.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
CCOLA.IS,2018,UNKNOWN,5,1,5,0,0
CCOLA.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
CCOLA.IS,2019,UNKNOWN,5,1,5,0,0
CCOLA.IS,2020,UNKNOWN,1,1,1,0,0
CCOLA.IS,2024,UNKNOWN,1,1,1,0,0
CCOLA.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CIMSA.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
CIMSA.IS,2018,UNKNOWN,5,1,5,0,0
CIMSA.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
CIMSA.IS,2019,UNKNOWN,5,1,5,0,0
CIMSA.IS,2020,UNKNOWN,1,1,1,0,0
CIMSA.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CLEBI.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
CLEBI.IS,2018,UNKNOWN,5,1,5,0,0
CLEBI.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
CLEBI.IS,2019,UNKNOWN,5,1,5,0,0
CLEBI.IS,2020,UNKNOWN,1,1,1,0,0
CLEBI.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CVKMD.IS,2024,UNKNOWN,1,1,1,0,0
CVKMD.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
CWENE.IS,2024,UNKNOWN,1,1,1,0,0
CWENE.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
DOAS.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
DOAS.IS,2018,UNKNOWN,5,1,5,0,0
DOAS.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
DOAS.IS,2019,MISSING_VOLUME_ONLY,1,1,1,0,0
DOAS.IS,2019,UNKNOWN,4,1,4,0,0
DOAS.IS,2020,UNKNOWN,1,1,1,0,0
DOAS.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
DOHOL.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
DOHOL.IS,2018,UNKNOWN,5,1,5,0,0
DOHOL.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
DOHOL.IS,2019,UNKNOWN,5,1,5,0,0
DOHOL.IS,2020,UNKNOWN,1,1,1,0,0
DOHOL.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
ECILC.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
ECILC.IS,2018,UNKNOWN,5,1,5,0,0
ECILC.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
ECILC.IS,2019,MISSING_VOLUME_ONLY,1,1,1,0,0
ECILC.IS,2019,UNKNOWN,4,1,4,0,0
ECILC.IS,2020,UNKNOWN,1,1,1,0,0
ECILC.IS,2026,LEGITIMATE_NO_TRADE / SUSPENSION,3,3,3,0,3
EKGYO.IS,2018,LEGITIMATE_NO_TRADE / SUSPENSION,4,4,4,0,4
EKGYO.IS,2018,UNKNOWN,5,1,5,0,0
EKGYO.IS,2019,LEGITIMATE_NO_TRADE / SUSPENSION,6,3,6,0,6
