symbol,corporate_action_flag,rows
AEFES.IS,NONE,2201
AGHOL.IS,NONE,2201
AGROT.IS,NONE,706
AKBNK.IS,NONE,2200
ALARK.IS,NONE,2200
ALFAS.IS,NONE,959
ALVES.IS,NONE,637
ANSGR.IS,NONE,2201
ARCLK.IS,NONE,2200
ASELS.IS,NONE,2200
ASTOR.IS,NONE,914
BIMAS.IS,NONE,2203
BINHO.IS,NONE,622
BIZIM.IS,NONE,2200
BRSAN.IS,NONE,2200
BSOKE.IS,NONE,2193
BSOKE.IS,PROVIDER_EARLY_ADJUSTMENT,6
BSOKE.IS,RIGHTS_ISSUE,1
CANTE.IS,NONE,1345
CCOLA.IS,NONE,2192
CCOLA.IS,PROVIDER_EARLY_ADJUSTMENT,8
CCOLA.IS,BONUS_ISSUE,1
CIMSA.IS,NONE,2200
CLEBI.IS,NONE,2200
CVKMD.IS,NONE,855
CVKMD.IS,PROVIDER_EARLY_ADJUSTMENT,2
CVKMD.IS,RIGHTS_ISSUE,1
CWENE.IS,NONE,841
DOAS.IS,NONE,2200
DOHOL.IS,NONE,2200
ECILC.IS,NONE,2200
EKGYO.IS,NONE,2200
ENKAI.IS,NONE,2200
EREGL.IS,NONE,2201
EUPWR.IS,NONE,853
FORTE.IS,NONE,620
FROTO.IS,NONE,2201
GARAN.IS,NONE,2200
GENTS.IS,NONE,2201
GESAN.IS,NONE,1273
GOKNR.IS,NONE,882
GUBRF.IS,NONE,2200
HALKB.IS,NONE,2200
HEKTS.IS,NONE,2192
HEKTS.IS,PROVIDER_EARLY_ADJUSTMENT,7
HEKTS.IS,RIGHTS_ISSUE,1
INVES.IS,NONE,628
ISCTR.IS,NONE,2200
ISGYO.IS,NONE,2200
KBORU.IS,NONE,517
KBORU.IS,PROVIDER_EARLY_ADJUSTMENT,104
KBORU.IS,BONUS_ISSUE,1
KCAER.IS,NONE,1055
KCHOL.IS,NONE,2200
KONTR.IS,NONE,1481
KORDS.IS,NONE,2206
KRDMD.IS,NONE,2200
LOGO.IS,NONE,2200
MAVI.IS,NONE,2201
MGROS.IS,NONE,2200
MIATK.IS,NONE,1208
MOGAN.IS,NONE,597
MTRKS.IS,NONE,1362
ODAS.IS,NONE,2200
ONCSM.IS,NONE,924
OTKAR.IS,NONE,2198
OYAKC.IS,NONE,2201
PASEU.IS,NONE,621
PETKM.IS,NONE,2200
PGSUS.IS,NONE,2201
PLTUR.IS,NONE,939
REEDR.IS,NONE,620
SAHOL.IS,NONE,2200
SASA.IS,NONE,2201
SDTTR.IS,NONE,929
SELEC.IS,NONE,2200
SISE.IS,NONE,2200
SKBNK.IS,NONE,2200
SOKM.IS,NONE,2101
SURGY.IS,NONE,621
TABGD.IS,NONE,725
TAVHL.IS,NONE,2200
TCELL.IS,NONE,2200
TERA.IS,NONE,932
THYAO.IS,NONE,2200
TKFEN.IS,NONE,2201
TOASO.IS,NONE,2200
TRGYO.IS,NONE,2200
TSKB.IS,NONE,2200
TTKOM.IS,NONE,2200
TTRAK.IS,NONE,2200
TUPRS.IS,NONE,2200
TUREX.IS,NONE,1360
TURSG.IS,NONE,2204
ULKER.IS,NONE,2200
VAKBN.IS,NONE,2200
VESTL.IS,NONE,2200
XU100.IS,NONE,2171
YKBNK.IS,NONE,2200
