symbol,rows,first_date,last_date,quality_verified,quality_reconstructed,quality_provider_only,quality_unresolved
AEFES.IS,2201,2018-01-01,2026-09-15,0,0,2175,26
AGHOL.IS,2201,2018-01-01,2026-09-15,0,0,2176,25
AGROT.IS,706,2023-11-23,2026-09-15,0,0,702,4
AKBNK.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
ALARK.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
ALFAS.IS,959,2022-11-16,2026-09-15,0,0,955,4
ALVES.IS,637,2024-02-29,2026-09-15,0,0,633,4
ANSGR.IS,2201,2018-01-01,2026-09-15,0,0,2175,26
ARCLK.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
ASELS.IS,2200,2018-01-01,2026-09-15,0,0,2164,36
ASTOR.IS,914,2023-01-18,2026-09-15,0,0,910,4
BIMAS.IS,2203,2018-01-01,2026-09-15,0,0,2175,28
BINHO.IS,622,2024-03-21,2026-09-15,0,0,618,4
BIZIM.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
BRSAN.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
BSOKE.IS,2200,2018-01-01,2026-09-15,0,1,2168,31
CANTE.IS,1345,2021-04-30,2026-09-15,0,0,1339,6
CCOLA.IS,2201,2018-01-01,2026-09-15,0,1,2166,34
CIMSA.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
CLEBI.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
CVKMD.IS,858,2023-04-13,2026-09-15,0,1,851,6
CWENE.IS,841,2023-05-10,2026-09-15,0,0,837,4
DOAS.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
DOHOL.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
ECILC.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
EKGYO.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
ENKAI.IS,2200,2018-01-01,2026-09-15,0,0,2175,25
EREGL.IS,2201,2018-01-01,2026-09-15,0,0,2175,26
EUPWR.IS,853,2023-04-20,2026-09-15,0,0,849,4
