symbol,trading_status,rows
AEFES.IS,TRADED_PROVIDER,2175
AEFES.IS,UNRESOLVED_NO_TRADE_OR_STALE,26
AGHOL.IS,TRADED_PROVIDER,2176
AGHOL.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
AGROT.IS,TRADED_PROVIDER,702
AGROT.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
AKBNK.IS,TRADED_PROVIDER,2175
AKBNK.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
ALARK.IS,TRADED_PROVIDER,2175
ALARK.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
ALFAS.IS,TRADED_PROVIDER,955
ALFAS.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
ALVES.IS,TRADED_PROVIDER,633
ALVES.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
ANSGR.IS,TRADED_PROVIDER,2175
ANSGR.IS,UNRESOLVED_NO_TRADE_OR_STALE,26
ARCLK.IS,TRADED_PROVIDER,2175
ARCLK.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
ASELS.IS,TRADED_PROVIDER,2164
ASELS.IS,UNRESOLVED_NO_TRADE_OR_STALE,36
ASTOR.IS,TRADED_PROVIDER,910
ASTOR.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
BIMAS.IS,TRADED_PROVIDER,2175
BIMAS.IS,UNRESOLVED_NO_TRADE_OR_STALE,28
BINHO.IS,TRADED_PROVIDER,618
BINHO.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
BIZIM.IS,TRADED_PROVIDER,2175
BIZIM.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
BRSAN.IS,TRADED_PROVIDER,2175
BRSAN.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
BSOKE.IS,TRADED_PROVIDER,2175
BSOKE.IS,UNRESOLVED_NO_TRADE_OR_STALE,25
CANTE.IS,TRADED_PROVIDER,1339
CANTE.IS,UNRESOLVED_NO_TRADE_OR_STALE,4
CANTE.IS,UNRESOLVED_MISSING_VOLUME,2
CCOLA.IS,TRADED_PROVIDER,2175
CCOLA.IS,UNRESOLVED_NO_TRADE_OR_STALE,26
CIMSA.IS,TRADED_PROVIDER,2175
