symbol,rows,eligible_rows,unresolved_rows,unresolved_pct,max_unresolved_streak,coverage_band
AEFES.IS,2201,2175,26,0.011812812358019082,4,SMALL_COVERAGE_LOSS
AGHOL.IS,2201,2176,25,0.011358473421172195,4,SMALL_COVERAGE_LOSS
AGROT.IS,706,702,4,0.0056657223796034,3,SMALL_COVERAGE_LOSS
AKBNK.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
ALARK.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
ALFAS.IS,959,955,4,0.004171011470281543,3,SMALL_COVERAGE_LOSS
ALVES.IS,637,633,4,0.006279434850863423,3,SMALL_COVERAGE_LOSS
ANSGR.IS,2201,2175,26,0.011812812358019082,4,SMALL_COVERAGE_LOSS
ARCLK.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
ASELS.IS,2200,2164,36,0.016363636363636365,11,MATERIALLY_PROBLEMATIC
ASTOR.IS,914,910,4,0.00437636761487965,3,SMALL_COVERAGE_LOSS
BIMAS.IS,2203,2175,28,0.01270994098955969,4,SMALL_COVERAGE_LOSS
BINHO.IS,622,618,4,0.006430868167202572,3,SMALL_COVERAGE_LOSS
BIZIM.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
BRSAN.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
BSOKE.IS,2200,2169,31,0.014090909090909091,6,MATERIALLY_PROBLEMATIC
CANTE.IS,1345,1339,6,0.0044609665427509295,3,SMALL_COVERAGE_LOSS
CCOLA.IS,2201,2167,34,0.015447523852794184,8,MATERIALLY_PROBLEMATIC
CIMSA.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
CLEBI.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
CVKMD.IS,858,852,6,0.006993006993006993,3,SMALL_COVERAGE_LOSS
CWENE.IS,841,837,4,0.0047562425683709865,3,SMALL_COVERAGE_LOSS
DOAS.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
DOHOL.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
ECILC.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
EKGYO.IS,2200,2175,25,0.011363636363636364,4,SMALL_COVERAGE_LOSS
