ticker,financial_period,availability_proxy_date,historical_capital_available,fallback_capital_source_date,fallback_capital,market_cap_source,future_last_capital_fallback,affected_fields
AGROT.IS,2020Q4,2021-03-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2021Q4,2022-03-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2022Q2,2022-08-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2022Q3,2022-11-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2022Q4,2023-03-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2023Q1,2023-05-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2023Q2,2023-08-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
AGROT.IS,2023Q3,2023-11-15,False,2026-09-07,2400000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2019Q4,2020-03-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2020Q4,2021-03-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2021Q2,2021-08-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2021Q3,2021-11-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2021Q4,2022-03-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2022Q1,2022-05-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2022Q2,2022-08-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALFAS.IS,2022Q3,2022-11-15,False,2026-09-07,368000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2020Q4,2021-03-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2021Q4,2022-03-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2022Q3,2022-11-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2022Q4,2023-03-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2023Q1,2023-05-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2023Q2,2023-08-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ALVES.IS,2023Q3,2023-11-15,False,2026-09-07,1600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ASTOR.IS,2019Q4,2020-03-15,False,2026-09-07,998000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
