ticker,financial_period,field,status,reason
AEFES.IS,2018Q1,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q1,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q1,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q1,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q1,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q1,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
AEFES.IS,2018Q2,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,ebitda,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,op_gelir,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,net_kar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,cfo,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,fcf,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,ozkaynaklar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,toplam_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,net_borc,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,nakit,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,toplam_aktif,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,ihracat_orani,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,roe,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q2,roa,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q2,piyasa_degeri,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,pb,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,ev,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
AEFES.IS,2018Q2,ev_ebitda,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q2,fcf_verim,INVALID,YTD_FLOW_MIXED_WITH_POINT_IN_TIME_OR_SIGNAL_DATE_DENOMINATOR
AEFES.IS,2018Q2,tfrs29,INVALID,MECHANICAL_DATE_FLAG_NOT_ACCOUNTING_BASIS_METADATA
AEFES.IS,2018Q3,satislar,PROXY_UNVERIFIED,FIXED_LAG_AND_VINTAGE_UNKNOWN
