field,class,stored_semantics,single_quarter_available,ttm_available,non_null_rows,risk
satislar,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2646,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
ebitda,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2307,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
op_gelir,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2646,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
net_kar,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2646,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
cfo,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2306,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
fcf,FLOW,YTD_CUMULATIVE_3_6_9_12_MONTH,False,False,2306,LEGACY_NAME_DOES_NOT_ENCODE_YTD; NO_Q2_Q3_Q4_DECOMPOSITION
ozkaynaklar,BALANCE,POINT_IN_TIME_PERIOD_END,False,False,2646,PIT_AND_VINTAGE_STILL_PROXY_UNKNOWN
toplam_borc,BALANCE,POINT_IN_TIME_PERIOD_END,False,False,2307,PIT_AND_VINTAGE_STILL_PROXY_UNKNOWN
net_borc,BALANCE,POINT_IN_TIME_PERIOD_END,False,False,2307,PIT_AND_VINTAGE_STILL_PROXY_UNKNOWN
nakit,BALANCE,POINT_IN_TIME_PERIOD_END,False,False,2307,PIT_AND_VINTAGE_STILL_PROXY_UNKNOWN
toplam_aktif,BALANCE,POINT_IN_TIME_PERIOD_END,False,False,2307,PIT_AND_VINTAGE_STILL_PROXY_UNKNOWN
roe,DERIVED,MIXED_YTD_FLOW_AND_POINT_IN_TIME_DENOMINATOR,False,False,2553,NOT_COMPARABLE_ACROSS_QUARTERS_WITHOUT_EXPLICIT_TRANSFORM
roa,DERIVED,MIXED_YTD_FLOW_AND_POINT_IN_TIME_DENOMINATOR,False,False,2230,NOT_COMPARABLE_ACROSS_QUARTERS_WITHOUT_EXPLICIT_TRANSFORM
ev_ebitda,DERIVED,MIXED_YTD_FLOW_AND_POINT_IN_TIME_DENOMINATOR,False,False,1995,NOT_COMPARABLE_ACROSS_QUARTERS_WITHOUT_EXPLICIT_TRANSFORM
fcf_verim,DERIVED,MIXED_YTD_FLOW_AND_POINT_IN_TIME_DENOMINATOR,False,False,2117,NOT_COMPARABLE_ACROSS_QUARTERS_WITHOUT_EXPLICIT_TRANSFORM
ihracat_orani,DERIVED,MIXED_YTD_FLOW_AND_POINT_IN_TIME_DENOMINATOR,False,False,1969,NOT_COMPARABLE_ACROSS_QUARTERS_WITHOUT_EXPLICIT_TRANSFORM
