period_end_year,total,exact_timestamp,exact_timestamp_pct,exact_date,exact_date_pct,approximate_fixed_lag,approximate_fixed_lag_pct,unknown,unknown_pct
ALL,2646,0,0.0,0,0.0,2646,1.0,0,0.0
2018,246,0,0.0,0,0.0,246,1.0,0,0.0
2019,256,0,0.0,0,0.0,256,1.0,0,0.0
2020,282,0,0.0,0,0.0,282,1.0,0,0.0
2021,298,0,0.0,0,0.0,298,1.0,0,0.0
2022,342,0,0.0,0,0.0,342,1.0,0,0.0
2023,352,0,0.0,0,0.0,352,1.0,0,0.0
2024,351,0,0.0,0,0.0,351,1.0,0,0.0
2025,350,0,0.0,0,0.0,350,1.0,0,0.0
2026,169,0,0.0,0,0.0,169,1.0,0,0.0
