observation_id,ticker,financial_period,field,xbrl_code,first_published_value_try,latest_recovered_value_try,published_comparative_value_try,local_stored_value_try,missing_official,missing_local,local_basis_classification
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,revenue,ifrs-full_Revenue,76541226000.0,76541226000.0,19820990000.0,77645678000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,2756340000.0,2756340000.0,-614217000.0,4614401000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,ebitda,,,,,4827204000.0,True,False,UNKNOWN
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,net_income,ifrs-full_ProfitLoss,936411000.0,936411000.0,-741070000.0,1145064000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,equity,ifrs-full_Equity,15964997000.0,15964997000.0,17827517000.0,15964997000.0,False,False,MATCHES_FIRST_AND_LATEST
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,2290313000.0,2290313000.0,-449584000.0,2290313000.0,False,False,MATCHES_FIRST_AND_LATEST
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,1405000.0,1405000.0,-173908000.0,,False,True,UNKNOWN
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,fcf,DERIVED_CFO_PLUS_INVESTING_CF,2291718000.0,2291718000.0,,2291718000.0,False,False,MATCHES_FIRST_AND_LATEST
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,revenue,ifrs-full_Revenue,686528507000.0,686528507000.0,916751060000.0,991202993000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,73627774000.0,73627774000.0,76252790000.0,130195946000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,ebitda,,,,,138950415000.0,True,False,UNKNOWN
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,net_income,ifrs-full_ProfitLoss,53872161000.0,53872161000.0,61545237000.0,77780087000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,equity,ifrs-full_Equity,202940767000.0,202940767000.0,179412567000.0,293003849000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,85276324000.0,85276324000.0,82493808000.0,123121104000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-9549350000.0,-9549350000.0,-7567821000.0,,False,True,UNKNOWN
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,fcf,DERIVED_CFO_PLUS_INVESTING_CF,75726974000.0,75726974000.0,,109333849000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,revenue,ifrs-full_Revenue,370096723000.0,370096723000.0,357349229000.0,499811923000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,14893165000.0,14893165000.0,31779123000.0,24994352000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,ebitda,,,,,31161258000.0,True,False,UNKNOWN
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,net_income,ifrs-full_ProfitLoss,5521447000.0,5521447000.0,12636572000.0,7456660000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,equity,ifrs-full_Equity,235292313000.0,235292313000.0,253138164000.0,235292313000.0,False,False,MATCHES_FIRST_AND_LATEST
