observation_id,candidate_rank,ticker,financial_period,notification_id,announcement_timestamp,subject,summary,statement_year,statement_period_number,rule_type,consolidated_flag,preferred_basis,basis_match,modify_status,correction_marker,attachment_count,presentation_unit_labels,presentation_unit_multiplier,presentation_unit_status,source_url,retrieval_timestamp_utc
TUPRS.IS:2022Q1,1,TUPRS.IS,2022Q1,1027598,09.05.2022 06:36:32,Finansal Rapor,,2022,1,3 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1027598,2026-09-17T17:14:17.495586+00:00
TUPRS.IS:2023Q4,1,TUPRS.IS,2023Q4,1254613,04.03.2024 19:33:32,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1254613,2026-09-17T17:14:17.495586+00:00
TUPRS.IS:2024Q2,1,TUPRS.IS,2024Q2,1321133,05.08.2024 18:20:05,Finansal Rapor,,2024,2,6 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1321133,2026-09-17T17:14:17.495586+00:00
THYAO.IS:2022Q3,1,THYAO.IS,2022Q3,1076336,02.11.2022 18:15:18,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000.000 TL,1000000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1076336,2026-09-17T17:14:17.495586+00:00
THYAO.IS:2023Q4,1,THYAO.IS,2023Q4,1266721,03.04.2024 19:00:51,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000.000 TL,1000000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1266721,2026-09-17T17:14:17.495586+00:00
THYAO.IS:2024Q2,1,THYAO.IS,2024Q2,1321134,05.08.2024 18:20:09,Finansal Rapor,,2024,2,6 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000.000 TL,1000000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1321134,2026-09-17T17:14:17.495586+00:00
BIMAS.IS:2022Q1,1,BIMAS.IS,2022Q1,1027937,09.05.2022 18:20:49,Finansal Rapor,,2022,1,3 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1027937,2026-09-17T17:14:17.495586+00:00
BIMAS.IS:2023Q4,1,BIMAS.IS,2023Q4,1285893,13.05.2024 22:45:18,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1285893,2026-09-17T17:14:17.495586+00:00
BIMAS.IS:2024Q3,1,BIMAS.IS,2024Q3,1356968,11.11.2024 22:21:32,Finansal Rapor,,2024,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1356968,2026-09-17T17:14:17.495586+00:00
AEFES.IS:2022Q3,1,AEFES.IS,2022Q3,1076388,02.11.2022 19:13:38,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,DUZELTILEN,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1076388,2026-09-17T17:14:17.495586+00:00
AEFES.IS:2022Q3,2,AEFES.IS,2022Q3,1076969,04.11.2022 18:38:08,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,DUZENLENEN,True,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1076969,2026-09-17T17:14:17.495586+00:00
AEFES.IS:2023Q4,1,AEFES.IS,2023Q4,1261306,21.03.2024 23:35:12,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1261306,2026-09-17T17:14:17.495586+00:00
AEFES.IS:2024Q2,1,AEFES.IS,2024Q2,1326514,20.08.2024 20:15:49,Finansal Rapor,,2024,2,6 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1326514,2026-09-17T17:14:17.495586+00:00
ASELS.IS:2022Q1,1,ASELS.IS,2022Q1,1024084,26.04.2022 19:38:09,Finansal Rapor,,2022,1,3 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1024084,2026-09-17T17:14:17.495586+00:00
ASELS.IS:2023Q4,1,ASELS.IS,2023Q4,1262825,26.03.2024 18:30:10,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1262825,2026-09-17T17:14:17.495586+00:00
ASELS.IS:2024Q3,1,ASELS.IS,2024Q3,1348854,15.10.2024 18:47:17,Finansal Rapor,,2024,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,2,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1348854,2026-09-17T17:14:17.495586+00:00
LOGO.IS:2022Q3,1,LOGO.IS,2022Q3,1078146,08.11.2022 18:17:55,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1078146,2026-09-17T17:14:17.495586+00:00
LOGO.IS:2023Q4,1,LOGO.IS,2023Q4,1261215,21.03.2024 18:38:24,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1261215,2026-09-17T17:14:17.495586+00:00
LOGO.IS:2024Q2,1,LOGO.IS,2024Q2,1322445,07.08.2024 20:32:23,Finansal Rapor,,2024,2,6 Aylık,CONSOLIDATED,CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1322445,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2022Q1,1,ISCTR.IS,2022Q1,1027984,09.05.2022 18:38:48,Finansal Rapor,,2022,1,3 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1027984,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2022Q1,2,ISCTR.IS,2022Q1,1028006,09.05.2022 18:58:20,Finansal Rapor,,2022,1,3 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1028006,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2023Q4,1,ISCTR.IS,2023Q4,1249311,13.02.2024 18:54:42,Finansal Rapor,,2023,4,Yıllık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1249311,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2023Q4,2,ISCTR.IS,2023Q4,1249321,13.02.2024 19:18:37,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1249321,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2024Q3,1,ISCTR.IS,2024Q3,1353364,04.11.2024 18:22:35,Finansal Rapor,,2024,3,9 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1353364,2026-09-17T17:14:17.495586+00:00
ISCTR.IS:2024Q3,2,ISCTR.IS,2024Q3,1353390,04.11.2024 19:06:45,Finansal Rapor,,2024,3,9 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1353390,2026-09-17T17:14:17.495586+00:00
AKBNK.IS:2022Q3,1,AKBNK.IS,2022Q3,1074401,26.10.2022 18:11:09,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1074401,2026-09-17T17:14:17.495586+00:00
