observation_id,ticker,company_type,size_liquidity,sector,financial_period,period_end,statement_type,preferred_consolidated_flag,consolidated_flag,kap_notification_id,announcement_date,announcement_timestamp,timing_quality,available_next_session_required,first_publication_flag,restatement_revision_flag,vintage_class,vintage_recovery_status,lineage_status,source_url,retrieval_timestamp_utc,exact_candidate_count,preferred_basis_candidate_count,mapping_status,mapping_confidence,mapping_failure,consolidation_basis_resolved,presentation_unit_status,accounting_semantics_status,flow_semantics,tfrs29_status,completely_unrecoverable
TUPRS.IS:2022Q1,TUPRS.IS,NON_FINANCIAL,LARGE_LIQUID,ENERGY_REFINING,2022Q1,2022-03-31,INTERIM,CONSOLIDATED,CONSOLIDATED,1027598,09.05.2022,09.05.2022 06:36:32,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1027598,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,SINGLE_QUARTER,PRE_TFRS29,False
TUPRS.IS:2023Q4,TUPRS.IS,NON_FINANCIAL,LARGE_LIQUID,ENERGY_REFINING,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1254613,04.03.2024,04.03.2024 19:33:32,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1254613,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_MENTION_CONFIRMED,False
TUPRS.IS:2024Q2,TUPRS.IS,NON_FINANCIAL,LARGE_LIQUID,ENERGY_REFINING,2024Q2,2024-06-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1321133,05.08.2024,05.08.2024 18:20:05,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1321133,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,POST_TFRS29_MENTION_CONFIRMED,False
THYAO.IS:2022Q3,THYAO.IS,NON_FINANCIAL,LARGE_LIQUID,AIR_TRANSPORT,2022Q3,2022-09-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1076336,02.11.2022,02.11.2022 18:15:18,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1076336,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,PRE_TFRS29,False
THYAO.IS:2023Q4,THYAO.IS,NON_FINANCIAL,LARGE_LIQUID,AIR_TRANSPORT,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1266721,03.04.2024,03.04.2024 19:00:51,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1266721,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_STATUS_UNKNOWN,False
THYAO.IS:2024Q2,THYAO.IS,NON_FINANCIAL,LARGE_LIQUID,AIR_TRANSPORT,2024Q2,2024-06-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1321134,05.08.2024,05.08.2024 18:20:09,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1321134,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,POST_TFRS29_STATUS_UNKNOWN,False
BIMAS.IS:2022Q1,BIMAS.IS,NON_FINANCIAL,LARGE_LIQUID,RETAIL,2022Q1,2022-03-31,INTERIM,CONSOLIDATED,CONSOLIDATED,1027937,09.05.2022,09.05.2022 18:20:49,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1027937,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,SINGLE_QUARTER,PRE_TFRS29,False
BIMAS.IS:2023Q4,BIMAS.IS,NON_FINANCIAL,LARGE_LIQUID,RETAIL,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1285893,13.05.2024,13.05.2024 22:45:18,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1285893,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_MENTION_CONFIRMED,False
BIMAS.IS:2024Q3,BIMAS.IS,NON_FINANCIAL,LARGE_LIQUID,RETAIL,2024Q3,2024-09-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1356968,11.11.2024,11.11.2024 22:21:32,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1356968,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,POST_TFRS29_STATUS_UNKNOWN,False
AEFES.IS:2022Q3,AEFES.IS,NON_FINANCIAL,MEDIUM,BEVERAGES,2022Q3,2022-09-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1076388,02.11.2022,02.11.2022 19:13:38,EXACT_TIMESTAMP,True,True,True,RESTATED,CORRECTED,RESOLVED_CORRECTED_CHAIN,https://www.kap.org.tr/tr/Bildirim/1076388,2026-09-17T17:14:17.495586+00:00,2,2,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,PRE_TFRS29,False
