observation_id,ticker,financial_period,company_type,tfrs29_status,official_page_mentions_tfrs29,local_tfrs29_flag,published_current_net_income_try,published_comparative_net_income_try,restated_comparative_net_income_try,restated_comparative_status,local_net_income_try,double_adjustment_risk
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,NON_FINANCIAL,PRE_TFRS29,False,False,936411000.0,-741070000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,1145064000.0,SAFE
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,53872161000.0,61545237000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,77780087000.0,DOUBLE-ADJUSTMENT RISK
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,5521447000.0,12636572000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,7456660000.0,DOUBLE-ADJUSTMENT RISK
THYAO.IS:2022Q3,THYAO.IS,2022Q3,NON_FINANCIAL,PRE_TFRS29,False,False,38493000000.0,6232000000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,38493000000.0,SAFE
THYAO.IS:2023Q4,THYAO.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,162998000000.0,47432000000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,162998000000.0,UNKNOWN
THYAO.IS:2024Q2,THYAO.IS,2024Q2,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,37309000000.0,18173000000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,37309000000.0,UNKNOWN
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,NON_FINANCIAL,PRE_TFRS29,False,False,1344211000.0,684567000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,1344211000.0,SAFE
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,15445289000.0,16599432000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,22299719000.0,DOUBLE-ADJUSTMENT RISK
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,13880687000.0,13291367000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,18502124000.0,UNKNOWN
AEFES.IS:2022Q3,AEFES.IS,2022Q3,NON_FINANCIAL,PRE_TFRS29,False,False,5427065000.0,2425557000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,5427065000.0,SAFE
AEFES.IS:2023Q4,AEFES.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,33541789000.0,23003578000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,48427296000.0,DOUBLE-ADJUSTMENT RISK
AEFES.IS:2024Q2,AEFES.IS,2024Q2,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,12423558000.0,15027594000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,16777891000.0,UNKNOWN
ASELS.IS:2022Q1,ASELS.IS,2022Q1,NON_FINANCIAL,PRE_TFRS29,False,False,1676941000.0,1228827000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,1676941000.0,SAFE
ASELS.IS:2023Q4,ASELS.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,7374265000.0,1189309000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,10646874000.0,DOUBLE-ADJUSTMENT RISK
ASELS.IS:2024Q3,ASELS.IS,2024Q3,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,6074699000.0,4357402000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,8097210000.0,UNKNOWN
LOGO.IS:2022Q3,LOGO.IS,2022Q3,NON_FINANCIAL,PRE_TFRS29,False,False,357499950.0,164738175.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,357501000.0,SAFE
LOGO.IS:2023Q4,LOGO.IS,2023Q4,NON_FINANCIAL,POST_TFRS29_MENTION_CONFIRMED,True,True,130053000.0,332669000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,187766000.0,DOUBLE-ADJUSTMENT RISK
LOGO.IS:2024Q2,LOGO.IS,2024Q2,NON_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,True,194356000.0,290543000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,262477000.0,UNKNOWN
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,BANK,PRE_TFRS29,False,False,8431886000.0,1853700000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,8431860704.0,SAFE
