observation_id,ticker,financial_period,notification_id,consolidated_flag,basis_match,unit_labels,unit_multiplier,unit_status
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,1027598,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,1254613,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,1321133,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
THYAO.IS:2022Q3,THYAO.IS,2022Q3,1076336,CONSOLIDATED,True,1.000.000 TL,1000000,RESOLVED
THYAO.IS:2023Q4,THYAO.IS,2023Q4,1266721,CONSOLIDATED,True,1.000.000 TL,1000000,RESOLVED
THYAO.IS:2024Q2,THYAO.IS,2024Q2,1321134,CONSOLIDATED,True,1.000.000 TL,1000000,RESOLVED
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,1027937,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,1285893,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,1356968,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AEFES.IS:2022Q3,AEFES.IS,2022Q3,1076388,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AEFES.IS:2022Q3,AEFES.IS,2022Q3,1076969,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AEFES.IS:2023Q4,AEFES.IS,2023Q4,1261306,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AEFES.IS:2024Q2,AEFES.IS,2024Q2,1326514,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ASELS.IS:2022Q1,ASELS.IS,2022Q1,1024084,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ASELS.IS:2023Q4,ASELS.IS,2023Q4,1262825,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ASELS.IS:2024Q3,ASELS.IS,2024Q3,1348854,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
LOGO.IS:2022Q3,LOGO.IS,2022Q3,1078146,CONSOLIDATED,True,TL,1,RESOLVED
LOGO.IS:2023Q4,LOGO.IS,2023Q4,1261215,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
LOGO.IS:2024Q2,LOGO.IS,2024Q2,1322445,CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,1027984,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,1028006,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,1249311,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,1249321,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,1353364,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,1353390,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,1074401,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,1074407,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,1246214,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,1246216,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,1316531,CONSOLIDATED,False,1.000 TL,1000,RESOLVED
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,1316532,NON_CONSOLIDATED,True,1.000 TL,1000,RESOLVED
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,1025810,NON_CONSOLIDATED,True,TL,1,RESOLVED
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,1025820,CONSOLIDATED,False,TL,1,RESOLVED
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,1247820,NON_CONSOLIDATED,True,TL,1,RESOLVED
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,1247822,CONSOLIDATED,False,TL,1,RESOLVED
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,1351070,NON_CONSOLIDATED,True,TL,1,RESOLVED
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,1351073,CONSOLIDATED,False,TL,1,RESOLVED
TURSG.IS:2022Q3,TURSG.IS,2022Q3,1075400,NON_CONSOLIDATED,True,TL,1,RESOLVED
TURSG.IS:2022Q3,TURSG.IS,2022Q3,1075494,CONSOLIDATED,False,TL,1,RESOLVED
TURSG.IS:2023Q4,TURSG.IS,2023Q4,1250640,NON_CONSOLIDATED,True,TL,1,RESOLVED
TURSG.IS:2023Q4,TURSG.IS,2023Q4,1250651,CONSOLIDATED,False,TL,1,RESOLVED
TURSG.IS:2024Q2,TURSG.IS,2024Q2,1315631,NON_CONSOLIDATED,True,TL,1,RESOLVED
TURSG.IS:2024Q2,TURSG.IS,2024Q2,1315635,CONSOLIDATED,False,TL,1,RESOLVED
