observation_id,ticker,financial_period,field,local_stored_value_try,first_published_value_try,absolute_difference_try,relative_difference_pct,comparison_available,different_from_first
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,revenue,77645678000.0,76541226000.0,1104452000.0,1.4429504957237032,True,True
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,net_income,1145064000.0,936411000.0,208653000.0,22.282203007012946,True,True
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,equity,15964997000.0,15964997000.0,0.0,0.0,True,False
TUPRS.IS:2022Q1,TUPRS.IS,2022Q1,cfo,2290313000.0,2290313000.0,0.0,0.0,True,False
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,revenue,991202993000.0,686528507000.0,304674486000.0,44.3789999822979,True,True
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,net_income,77780087000.0,53872161000.0,23907926000.0,44.37899938708603,True,True
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,equity,293003849000.0,202940767000.0,90063082000.0,44.378999513685685,True,True
TUPRS.IS:2023Q4,TUPRS.IS,2023Q4,cfo,123121104000.0,85276324000.0,37844780000.0,44.379000201744155,True,True
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,revenue,499811923000.0,370096723000.0,129715200000.0,35.04899987995841,True,True
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,net_income,7456660000.0,5521447000.0,1935213000.0,35.049018853210036,True,True
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,equity,235292313000.0,235292313000.0,0.0,0.0,True,False
TUPRS.IS:2024Q2,TUPRS.IS,2024Q2,cfo,7292728000.0,5400059000.0,1892669000.0,35.04904298267852,True,True
THYAO.IS:2022Q3,THYAO.IS,2022Q3,revenue,223120000000.0,223120000000.0,0.0,0.0,True,False
THYAO.IS:2022Q3,THYAO.IS,2022Q3,net_income,38493000000.0,38493000000.0,0.0,0.0,True,False
THYAO.IS:2022Q3,THYAO.IS,2022Q3,equity,181539000000.0,181539000000.0,0.0,0.0,True,False
THYAO.IS:2022Q3,THYAO.IS,2022Q3,cfo,88247000000.0,88247000000.0,0.0,0.0,True,False
THYAO.IS:2023Q4,THYAO.IS,2023Q4,revenue,504398000000.0,504398000000.0,0.0,0.0,True,False
THYAO.IS:2023Q4,THYAO.IS,2023Q4,net_income,162998000000.0,162998000000.0,0.0,0.0,True,False
THYAO.IS:2023Q4,THYAO.IS,2023Q4,equity,457112000000.0,457112000000.0,0.0,0.0,True,False
THYAO.IS:2023Q4,THYAO.IS,2023Q4,cfo,145032000000.0,145032000000.0,0.0,0.0,True,False
THYAO.IS:2024Q2,THYAO.IS,2024Q2,revenue,330113000000.0,330113000000.0,0.0,0.0,True,False
THYAO.IS:2024Q2,THYAO.IS,2024Q2,net_income,37309000000.0,37309000000.0,0.0,0.0,True,False
THYAO.IS:2024Q2,THYAO.IS,2024Q2,equity,557767000000.0,557767000000.0,0.0,0.0,True,False
THYAO.IS:2024Q2,THYAO.IS,2024Q2,cfo,83856000000.0,83856000000.0,0.0,0.0,True,False
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,revenue,27313940000.0,27267254000.0,46686000.0,0.17121636084073594,True,True
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,net_income,1344211000.0,1344211000.0,0.0,0.0,True,False
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,equity,9097227000.0,9097227000.0,0.0,0.0,True,False
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,cfo,713947000.0,713947000.0,0.0,0.0,True,False
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,revenue,474200415000.0,328441924000.0,145758491000.0,44.37877151151995,True,True
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,net_income,22299719000.0,15445289000.0,6854430000.0,44.378774654200384,True,True
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,equity,100692259000.0,69741735000.0,30950524000.0,44.37876975673174,True,True
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,cfo,30234533000.0,20030459000.0,10204074000.0,50.94278668302109,True,True
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,revenue,489801496000.0,367459491000.0,122342005000.0,33.29401144791767,True,True
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,net_income,18502124000.0,13880687000.0,4621437000.0,33.294007710137116,True,True
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,equity,101680706000.0,101680706000.0,0.0,0.0,True,False
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,cfo,40151985000.0,30122872000.0,10029113000.0,33.29401326672968,True,True
AEFES.IS:2022Q3,AEFES.IS,2022Q3,revenue,68053082000.0,68071927000.0,-18845000.0,-0.027683952593262125,True,True
AEFES.IS:2022Q3,AEFES.IS,2022Q3,net_income,5427065000.0,5427065000.0,0.0,0.0,True,False
AEFES.IS:2022Q3,AEFES.IS,2022Q3,equity,61376976000.0,61376976000.0,0.0,0.0,True,False
AEFES.IS:2022Q3,AEFES.IS,2022Q3,cfo,11451803000.0,11451803000.0,0.0,0.0,True,False
AEFES.IS:2023Q4,AEFES.IS,2023Q4,revenue,230829114000.0,159877208000.0,70951906000.0,44.378999913483604,True,True
AEFES.IS:2023Q4,AEFES.IS,2023Q4,net_income,48427296000.0,33541789000.0,14885507000.0,44.378989445077,True,True
AEFES.IS:2023Q4,AEFES.IS,2023Q4,equity,187516402000.0,129877895000.0,57638507000.0,44.37899690320666,True,True
AEFES.IS:2023Q4,AEFES.IS,2023Q4,cfo,34409262000.0,22332110000.0,12077152000.0,54.07976227951591,True,True
AEFES.IS:2024Q2,AEFES.IS,2024Q2,revenue,145489930000.0,107731216000.0,37758714000.0,35.04900009668507,True,True
AEFES.IS:2024Q2,AEFES.IS,2024Q2,net_income,16777891000.0,12423558000.0,4354333000.0,35.04900126034748,True,True
AEFES.IS:2024Q2,AEFES.IS,2024Q2,equity,158074887000.0,158074887000.0,0.0,0.0,True,False
AEFES.IS:2024Q2,AEFES.IS,2024Q2,cfo,15606842000.0,10340504000.0,5266338000.0,50.92921969760855,True,True
ASELS.IS:2022Q1,ASELS.IS,2022Q1,revenue,4365256000.0,4365256000.0,0.0,0.0,True,False
ASELS.IS:2022Q1,ASELS.IS,2022Q1,net_income,1676941000.0,1676941000.0,0.0,0.0,True,False
ASELS.IS:2022Q1,ASELS.IS,2022Q1,equity,27541123000.0,27541123000.0,0.0,0.0,True,False
ASELS.IS:2022Q1,ASELS.IS,2022Q1,cfo,-1047339000.0,-1047339000.0,0.0,0.0,True,False
ASELS.IS:2023Q4,ASELS.IS,2023Q4,revenue,106252343000.0,73592774000.0,32659569000.0,44.37877148101524,True,True
ASELS.IS:2023Q4,ASELS.IS,2023Q4,net_income,10646874000.0,7374265000.0,3272609000.0,44.37878215659459,True,True
ASELS.IS:2023Q4,ASELS.IS,2023Q4,equity,127602504000.0,88380378000.0,39222126000.0,44.37877149608933,True,True
ASELS.IS:2023Q4,ASELS.IS,2023Q4,cfo,12091527000.0,8374864000.0,3716663000.0,44.3787863301422,True,True
ASELS.IS:2024Q3,ASELS.IS,2024Q3,revenue,80930749000.0,60715973000.0,20214776000.0,33.293999916628195,True,True
ASELS.IS:2024Q3,ASELS.IS,2024Q3,net_income,8097210000.0,6074699000.0,2022511000.0,33.2940117691428,True,True
ASELS.IS:2024Q3,ASELS.IS,2024Q3,equity,125353862000.0,125353862000.0,0.0,0.0,True,False
ASELS.IS:2024Q3,ASELS.IS,2024Q3,cfo,1204217000.0,903430000.0,300787000.0,33.29389105962831,True,True
LOGO.IS:2022Q3,LOGO.IS,2022Q3,revenue,1019620000.0,1019620479.0,-479.0,-4.697826395854491e-05,True,True
LOGO.IS:2022Q3,LOGO.IS,2022Q3,net_income,357501000.0,357499950.0,1050.0,0.0002937063347841028,True,True
LOGO.IS:2022Q3,LOGO.IS,2022Q3,equity,1095361927.0,1095361927.0,0.0,0.0,True,False
LOGO.IS:2022Q3,LOGO.IS,2022Q3,cfo,439289000.0,439289592.0,-592.0,-0.00013476303804620986,True,True
LOGO.IS:2023Q4,LOGO.IS,2023Q4,revenue,3135800000.0,2975328000.0,160472000.0,5.3934221705976615,True,True
LOGO.IS:2023Q4,LOGO.IS,2023Q4,net_income,187766000.0,130053000.0,57713000.0,44.37652341737599,True,True
LOGO.IS:2023Q4,LOGO.IS,2023Q4,equity,3324674000.0,2302745000.0,1021929000.0,44.37873060195549,True,True
LOGO.IS:2023Q4,LOGO.IS,2023Q4,cfo,976969000.0,132432000.0,844537000.0,637.7136945753292,True,True
LOGO.IS:2024Q2,LOGO.IS,2024Q2,revenue,2222164000.0,2276901000.0,-54737000.0,-2.404013174046654,True,True
LOGO.IS:2024Q2,LOGO.IS,2024Q2,net_income,262477000.0,194356000.0,68121000.0,35.04959970363662,True,True
LOGO.IS:2024Q2,LOGO.IS,2024Q2,equity,2461655000.0,2461655000.0,0.0,0.0,True,False
LOGO.IS:2024Q2,LOGO.IS,2024Q2,cfo,890740000.0,49788000.0,840952000.0,1689.0656383064193,True,True
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,revenue,14803676589.0,,,,False,
