legacy_observation_id,ticker,stage,reason
AGROT.IS:2020Q4,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2021Q4,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2022Q2,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2022Q3,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2022Q4,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2023Q1,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
AGROT.IS:2023Q2,AGROT,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2019Q4,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2020Q4,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2021Q2,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2021Q3,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2021Q4,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2022Q1,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2022Q2,ALFAS,MAPPING,NO_EXACT_FINANCIAL_REPORT
ALFAS.IS:2022Q3,ALFAS,MAPPING,NO_PREFERRED_CONSOLIDATION_MATCH
ALFAS.IS:2022Q4,ALFAS,MAPPING,NO_PREFERRED_CONSOLIDATION_MATCH
ALFAS.IS:2023Q1,ALFAS,MAPPING,NO_PREFERRED_CONSOLIDATION_MATCH
ALFAS.IS:2023Q2,ALFAS,MAPPING,NO_PREFERRED_CONSOLIDATION_MATCH
