legacy_observation_id,ticker,financial_period,field,xbrl_code,raw_field_label,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,semantic_confidence,first_notification_id,missing_official,derivation_predecessor_period
AEFES.IS:2018Q1,AEFES.IS,2018Q1,revenue,ifrs-full_Revenue,ifrs-full_Revenue|,2764121.0,1.000 TL,2764121000.0,TRY,FLOW_YTD,HIGH,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,ifrs-full_ProfitLossFromOperatingActivities|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,65042.0,1.000 TL,65042000.0,TRY,FLOW_YTD,PARTIAL,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,ebitda,,,,1.000 TL,,,FLOW_YTD,PARTIAL,681646.0,True,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,net_income,ifrs-full_ProfitLoss,ifrs-full_ProfitLoss|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,-147642.0,1.000 TL,-147642000.0,TRY,FLOW_YTD,HIGH,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,equity,ifrs-full_Equity,ifrs-full_Equity|http://www.xbrl.org/2003/role/totalLabel,20369622.0,1.000 TL,20369622000.0,TRY,BALANCE_SHEET_POINT_IN_TIME,HIGH,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,ifrs-full_CashFlowsFromUsedInOperatingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,107612.0,1.000 TL,107612000.0,TRY,FLOW_YTD,PARTIAL,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,ifrs-full_CashFlowsFromUsedInInvestingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,-269756.0,1.000 TL,-269756000.0,TRY,FLOW_YTD,PARTIAL,681646.0,False,
AEFES.IS:2018Q1,AEFES.IS,2018Q1,fcf,DERIVED,DERIVED_CFO_PLUS_INVESTING_CASH_FLOW,,1.000 TL,-162144000.0,TRY,FLOW_YTD,PARTIAL,681646.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,revenue,ifrs-full_Revenue,ifrs-full_Revenue|,8213697.0,1.000 TL,8213697000.0,TRY,FLOW_YTD,HIGH,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,ifrs-full_ProfitLossFromOperatingActivities|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,682925.0,1.000 TL,682925000.0,TRY,FLOW_YTD,PARTIAL,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,ebitda,,,,1.000 TL,,,FLOW_YTD,PARTIAL,702260.0,True,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,net_income,ifrs-full_ProfitLoss,ifrs-full_ProfitLoss|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,86626.0,1.000 TL,86626000.0,TRY,FLOW_YTD,HIGH,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,equity,ifrs-full_Equity,ifrs-full_Equity|http://www.xbrl.org/2003/role/totalLabel,21695410.0,1.000 TL,21695410000.0,TRY,BALANCE_SHEET_POINT_IN_TIME,HIGH,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,ifrs-full_CashFlowsFromUsedInOperatingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,823754.0,1.000 TL,823754000.0,TRY,FLOW_YTD,PARTIAL,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,ifrs-full_CashFlowsFromUsedInInvestingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,-533738.0,1.000 TL,-533738000.0,TRY,FLOW_YTD,PARTIAL,702260.0,False,
AEFES.IS:2018Q2,AEFES.IS,2018Q2,fcf,DERIVED,DERIVED_CFO_PLUS_INVESTING_CASH_FLOW,,1.000 TL,290016000.0,TRY,FLOW_YTD,PARTIAL,702260.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,revenue,ifrs-full_Revenue,ifrs-full_Revenue|,14643726.0,1.000 TL,14643726000.0,TRY,FLOW_YTD,HIGH,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,ifrs-full_ProfitLossFromOperatingActivities|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,1438172.0,1.000 TL,1438172000.0,TRY,FLOW_YTD,PARTIAL,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,ebitda,,,,1.000 TL,,,FLOW_YTD,PARTIAL,718047.0,True,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,net_income,ifrs-full_ProfitLoss,ifrs-full_ProfitLoss|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,92869.0,1.000 TL,92869000.0,TRY,FLOW_YTD,HIGH,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,equity,ifrs-full_Equity,ifrs-full_Equity|http://www.xbrl.org/2003/role/totalLabel,25990458.0,1.000 TL,25990458000.0,TRY,BALANCE_SHEET_POINT_IN_TIME,HIGH,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,ifrs-full_CashFlowsFromUsedInOperatingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,2580762.0,1.000 TL,2580762000.0,TRY,FLOW_YTD,PARTIAL,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,ifrs-full_CashFlowsFromUsedInInvestingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,-830878.0,1.000 TL,-830878000.0,TRY,FLOW_YTD,PARTIAL,718047.0,False,
AEFES.IS:2018Q3,AEFES.IS,2018Q3,fcf,DERIVED,DERIVED_CFO_PLUS_INVESTING_CASH_FLOW,,1.000 TL,1749884000.0,TRY,FLOW_YTD,PARTIAL,718047.0,False,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,revenue,ifrs-full_Revenue,ifrs-full_Revenue|,18689686.0,1.000 TL,18689686000.0,TRY,FLOW_ANNUAL,HIGH,743546.0,False,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,ifrs-full_ProfitLossFromOperatingActivities|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,1605960.0,1.000 TL,1605960000.0,TRY,FLOW_ANNUAL,PARTIAL,743546.0,False,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,ebitda,,,,1.000 TL,,,FLOW_ANNUAL,PARTIAL,743546.0,True,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,net_income,ifrs-full_ProfitLoss,ifrs-full_ProfitLoss|http://www.mkk.com.tr/2015/role/standartCapitalsLabel,315110.0,1.000 TL,315110000.0,TRY,FLOW_ANNUAL,HIGH,743546.0,False,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,equity,ifrs-full_Equity,ifrs-full_Equity|http://www.xbrl.org/2003/role/totalLabel,21334006.0,1.000 TL,21334006000.0,TRY,BALANCE_SHEET_POINT_IN_TIME,HIGH,743546.0,False,
AEFES.IS:2018Q4,AEFES.IS,2018Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,ifrs-full_CashFlowsFromUsedInOperatingActivities|http://www.mkk.com.tr/2015/role/alternativeTotalLabel,2818246.0,1.000 TL,2818246000.0,TRY,FLOW_ANNUAL,PARTIAL,743546.0,False,
