legacy_observation_id,ticker,kap_ticker,financial_period,period_end,legacy_available_date,legacy_source_file,legacy_sector,legacy_is_bank,local_revenue,local_operating_profit,local_ebitda,local_net_income,local_equity,local_cfo,local_fcf
AEFES.IS:2018Q1,AEFES.IS,AEFES,2018Q1,2018-03-31,2018-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,2709332000.0,48564000.0,286626000.0,-147642000.0,20369622000.0,107612000.0,-166193000.0
AEFES.IS:2018Q2,AEFES.IS,AEFES,2018Q2,2018-06-30,2018-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,8042943000.0,540424000.0,1158259000.0,-9141000.0,21695410000.0,823908000.0,290170000.0
AEFES.IS:2018Q3,AEFES.IS,AEFES,2018Q3,2018-09-30,2018-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,14364132000.0,1270672000.0,2329708000.0,-63516000.0,25990458000.0,2580776000.0,1749898000.0
AEFES.IS:2018Q4,AEFES.IS,AEFES,2018Q4,2018-12-31,2019-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,18689686000.0,1216886000.0,2713636000.0,98886000.0,21322274000.0,2818246000.0,1445459000.0
AEFES.IS:2019Q1,AEFES.IS,AEFES,2019Q1,2019-03-31,2019-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,3913279000.0,-83840000.0,366421000.0,-336387000.0,22453053000.0,227252000.0,-77349000.0
AEFES.IS:2019Q2,AEFES.IS,AEFES,2019Q2,2019-06-30,2019-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,11026562000.0,936107000.0,1808503000.0,280638000.0,22703567000.0,1733809000.0,845901000.0
AEFES.IS:2019Q3,AEFES.IS,AEFES,2019Q3,2019-09-30,2019-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,18064482000.0,1915630000.0,3205184000.0,1169882000.0,22821899000.0,3048060000.0,1770655000.0
AEFES.IS:2019Q4,AEFES.IS,AEFES,2019Q4,2019-12-31,2020-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,23076564000.0,2077019000.0,3820224000.0,1308595000.0,24380300000.0,4157115000.0,2630941000.0
AEFES.IS:2020Q1,AEFES.IS,AEFES,2020Q1,2020-03-31,2020-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,4513520000.0,-241653000.0,259644000.0,-354288000.0,22161771000.0,-563605000.0,-1012173000.0
AEFES.IS:2020Q2,AEFES.IS,AEFES,2020Q2,2020-06-30,2020-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,11583735000.0,762477000.0,1769666000.0,324675000.0,24780277000.0,2046232000.0,1165265000.0
AEFES.IS:2020Q3,AEFES.IS,AEFES,2020Q3,2020-09-30,2020-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,20323648000.0,2328146000.0,3849285000.0,1269745000.0,25692897000.0,4402418000.0,3212936000.0
AEFES.IS:2020Q4,AEFES.IS,AEFES,2020Q4,2020-12-31,2021-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,26742693000.0,2676062000.0,4749111000.0,1452910000.0,25014728000.0,4972316000.0,3457295000.0
AEFES.IS:2021Q1,AEFES.IS,AEFES,2021Q1,2021-03-31,2021-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,6159333000.0,116885000.0,655939000.0,416618000.0,27124148000.0,352790000.0,-81776000.0
AEFES.IS:2021Q2,AEFES.IS,AEFES,2021Q2,2021-06-30,2021-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,16546562000.0,1567777000.0,2664247000.0,1336207000.0,27704083000.0,3380859000.0,2268332000.0
AEFES.IS:2021Q3,AEFES.IS,AEFES,2021Q3,2021-09-30,2021-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,28333587000.0,3313163000.0,4987407000.0,2425557000.0,29333268000.0,6448420000.0,2800471000.0
AEFES.IS:2021Q4,AEFES.IS,AEFES,2021Q4,2021-12-31,2022-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,39284384000.0,4048280000.0,6447286000.0,2367266000.0,39332493000.0,8072534000.0,2282800000.0
AEFES.IS:2022Q1,AEFES.IS,AEFES,2022Q1,2022-03-31,2022-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,13767417000.0,1184688000.0,2037020000.0,-209790000.0,40220641000.0,774412000.0,-748091000.0
AEFES.IS:2022Q2,AEFES.IS,AEFES,2022Q2,2022-06-30,2022-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,38297916000.0,4908909000.0,6797780000.0,2258929000.0,56268766000.0,7778679000.0,5187435000.0
AEFES.IS:2022Q3,AEFES.IS,AEFES,2022Q3,2022-09-30,2022-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,68053082000.0,10516317000.0,13459709000.0,5427065000.0,61376976000.0,11451803000.0,7588513000.0
AEFES.IS:2022Q4,AEFES.IS,AEFES,2022Q4,2022-12-31,2023-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,155060052000.0,16716188000.0,25327907000.0,23003578000.0,134725218000.0,14550131000.0,4827506000.0
AEFES.IS:2023Q1,AEFES.IS,AEFES,2023Q1,2023-03-31,2023-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,44914937000.0,3526062000.0,6164723000.0,5622563000.0,56254565000.0,-1592167000.0,-5665223000.0
AEFES.IS:2023Q2,AEFES.IS,AEFES,2023Q2,2023-06-30,2023-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,108651986000.0,13978092000.0,19236897000.0,15027594000.0,73822378000.0,11496573000.0,3890108000.0
AEFES.IS:2023Q3,AEFES.IS,AEFES,2023Q3,2023-09-30,2023-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,179026728000.0,26556087000.0,34452261000.0,36338059000.0,81201685000.0,26365853000.0,14920760000.0
AEFES.IS:2023Q4,AEFES.IS,AEFES,2023Q4,2023-12-31,2024-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,230829114000.0,28116504000.0,39048001000.0,48427296000.0,187516402000.0,34409262000.0,18674550000.0
AEFES.IS:2024Q1,AEFES.IS,AEFES,2024Q1,2024-03-31,2024-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,60160356000.0,4040608000.0,7376507000.0,7105148000.0,146610492000.0,-4262856000.0,-8796980000.0
AEFES.IS:2024Q2,AEFES.IS,AEFES,2024Q2,2024-06-30,2024-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,145489930000.0,17319678000.0,24230482000.0,16777891000.0,158074887000.0,15606842000.0,4990586000.0
AEFES.IS:2024Q3,AEFES.IS,AEFES,2024Q3,2024-09-30,2024-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,239310757000.0,32387452000.0,43109829000.0,30653451000.0,171577305000.0,33874680000.0,16966211000.0
AEFES.IS:2024Q4,AEFES.IS,AEFES,2024Q4,2024-12-31,2025-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,302825275779.0,34996527494.0,49989366778.0,30556553679.0,222212202323.0,42426562473.0,18002382462.0
AEFES.IS:2025Q1,AEFES.IS,AEFES,2025Q1,2025-03-31,2025-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,58033193000.0,994364000.0,4681823000.0,4855475000.0,181918905000.0,-11588291000.0,-51488178000.0
AEFES.IS:2025Q2,AEFES.IS,AEFES,2025Q2,2025-06-30,2025-08-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,147172767000.0,12877560000.0,20734092000.0,13918822000.0,193920109000.0,9541135000.0,-38178529000.0
AEFES.IS:2025Q3,AEFES.IS,AEFES,2025Q3,2025-09-30,2025-11-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,188622454000.0,22533420000.0,32092998000.0,20106097000.0,212651768000.0,25714597000.0,-16851060000.0
AEFES.IS:2025Q4,AEFES.IS,AEFES,2025Q4,2025-12-31,2026-03-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,287150653458.0,31078684999.0,46567758174.0,20415229149.0,257896036579.0,40218634741.0,-15243036868.0
AEFES.IS:2026Q1,AEFES.IS,AEFES,2026Q1,2026-03-31,2026-05-15,data/fundamentals/AEFES_IS.parquet,XUSIN.IS,False,62424703000.0,4281965000.0,8065157000.0,4524638000.0,235846893000.0,-184762000.0,-3533542000.0
