legacy_observation_id,ticker,kap_ticker,financial_period,notification_id,publication_timestamp,consolidation_basis,preferred_basis,basis_match,modify_status,correction_marker,unit_status,source_url
AEFES.IS:2018Q1,AEFES.IS,AEFES,2018Q1,681646,07.05.2018 21:02:17,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/681646
AEFES.IS:2018Q2,AEFES.IS,AEFES,2018Q2,702260,09.08.2018 22:06:37,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/702260
AEFES.IS:2018Q3,AEFES.IS,AEFES,2018Q3,718047,06.11.2018 19:54:58,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/718047
AEFES.IS:2018Q4,AEFES.IS,AEFES,2018Q4,743546,28.02.2019 22:52:45,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/743546
AEFES.IS:2019Q1,AEFES.IS,AEFES,2019Q1,762358,08.05.2019 22:13:30,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/762358
AEFES.IS:2019Q2,AEFES.IS,AEFES,2019Q2,780765,07.08.2019 23:42:09,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/780765
AEFES.IS:2019Q3,AEFES.IS,AEFES,2019Q3,796754,05.11.2019 19:00:04,CONSOLIDATED,CONSOLIDATED,True,DUZELTILEN,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/796754
AEFES.IS:2019Q3,AEFES.IS,AEFES,2019Q3,797024,06.11.2019 18:20:16,CONSOLIDATED,CONSOLIDATED,True,DUZENLENEN,True,RESOLVED,https://www.kap.org.tr/tr/Bildirim/797024
AEFES.IS:2019Q4,AEFES.IS,AEFES,2019Q4,822265,27.02.2020 20:52:38,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/822265
AEFES.IS:2020Q1,AEFES.IS,AEFES,2020Q1,843158,06.05.2020 19:29:36,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/843158
AEFES.IS:2020Q2,AEFES.IS,AEFES,2020Q2,868468,12.08.2020 21:05:30,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/868468
AEFES.IS:2020Q3,AEFES.IS,AEFES,2020Q3,886436,05.11.2020 18:56:21,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/886436
AEFES.IS:2020Q4,AEFES.IS,AEFES,2020Q4,913168,25.02.2021 23:48:21,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/913168
AEFES.IS:2021Q1,AEFES.IS,AEFES,2021Q1,934813,05.05.2021 22:31:20,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/934813
AEFES.IS:2021Q2,AEFES.IS,AEFES,2021Q2,957808,12.08.2021 21:05:59,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/957808
AEFES.IS:2021Q3,AEFES.IS,AEFES,2021Q3,974935,04.11.2021 18:52:36,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/974935
AEFES.IS:2021Q4,AEFES.IS,AEFES,2021Q4,1003922,23.02.2022 21:51:41,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1003922
AEFES.IS:2022Q1,AEFES.IS,AEFES,2022Q1,1028045,09.05.2022 19:22:01,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1028045
AEFES.IS:2022Q2,AEFES.IS,AEFES,2022Q2,1054378,10.08.2022 20:32:02,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1054378
AEFES.IS:2022Q3,AEFES.IS,AEFES,2022Q3,1076388,02.11.2022 19:13:38,CONSOLIDATED,CONSOLIDATED,True,DUZELTILEN,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1076388
AEFES.IS:2022Q3,AEFES.IS,AEFES,2022Q3,1076969,04.11.2022 18:38:08,CONSOLIDATED,CONSOLIDATED,True,DUZENLENEN,True,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1076969
AEFES.IS:2022Q4,AEFES.IS,AEFES,2022Q4,1117868,28.02.2023 19:11:11,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1117868
AEFES.IS:2023Q1,AEFES.IS,AEFES,2023Q1,1146553,03.05.2023 20:00:35,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1146553
AEFES.IS:2023Q2,AEFES.IS,AEFES,2023Q2,1182359,08.08.2023 18:45:30,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1182359
AEFES.IS:2023Q3,AEFES.IS,AEFES,2023Q3,1213300,01.11.2023 19:18:39,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1213300
AEFES.IS:2023Q4,AEFES.IS,AEFES,2023Q4,1261306,21.03.2024 23:35:12,CONSOLIDATED,CONSOLIDATED,True,,False,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1261306
