outer_fold,signal_date,parent_rank_correlation,parent_top10_overlap,ensemble_overlap_regression,ensemble_overlap_lambdamart,parent_signal_disagreement_rate
O1,2022-02-21,0.7969958647897852,0.5,0.8,0.7,0.5
O1,2022-05-20,0.7514341143301896,0.6,0.7,0.8,0.4
O1,2022-08-17,0.7521234462467014,0.4,0.6,0.5,0.6
O1,2022-11-10,0.582496897743248,0.2,0.7,0.4,0.8
O2,2023-02-02,0.6024388313174234,0.6,0.7,0.9,0.4
O2,2023-05-05,0.578547941199201,0.3,0.8,0.5,0.7
O2,2023-08-03,-0.08828431615365721,0.0,0.2,0.5,1.0
O2,2023-10-27,0.2576099336169428,0.2,0.3,0.7,0.8
O3,2024-01-23,0.608772550721558,0.5,0.6,0.7,0.5
O3,2024-04-19,0.6037255418120373,0.5,0.7,0.7,0.5
O3,2024-07-22,0.7228608422052795,0.4,0.6,0.8,0.6
O3,2024-10-15,0.6597302560603902,0.4,0.6,0.8,0.6
O4,2025-01-10,0.5236008666616343,0.4,0.7,0.6,0.6
O4,2025-04-08,0.45262547127662484,0.3,0.4,0.8,0.7
