outer_fold,seed,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,11,3,186,0.11930230963163153,0.16222963956629535,0.6666666666666666,0.6614245540096971,0.045358864715422866,0.2651152410552124
O1,29,3,186,0.11106787351986495,0.10774993244639992,0.6666666666666666,0.5883040814526823,0.0033175630210167486,0.26958853651826004
O1,47,3,186,0.10093664474653109,0.11175934392557745,0.6666666666666666,0.6426382946183908,0.060212939394697705,0.27041012065910086
O2,11,3,196,-0.22966090168941966,-0.18580957821119362,0.0,0.4584824519507036,-0.16126165109308835,0.22930493005036165
O2,29,3,196,-0.1765984811358213,-0.17075691462801715,0.0,0.436537836448683,-0.05450577671327358,0.2431151831982833
O2,47,3,196,-0.19940657421377772,-0.14017433232024978,0.0,0.4193648845899614,-0.055841570972637554,0.235209915342621
O3,11,2,149,0.15950688878668542,0.15950688878668542,0.5,0.5854792720160111,0.0175803235459795,0.26227621328037476
O3,29,2,149,0.12001805194335768,0.12001805194335768,0.5,0.5917280509922624,0.029982419535984246,0.26055689045464053
O3,47,2,149,0.13890656654104575,0.13890656654104575,0.5,0.5748766529033038,-0.01863608594882773,0.26361336848882105
O4,11,1,79,0.10239493667332121,0.10239493667332121,1.0,0.5421525249204808,0.15747209677783464,0.25438986046582734
O4,29,1,79,0.11231154248308864,0.11231154248308864,1.0,0.5601252758475573,0.21053055855981082,0.2483983935728725
O4,47,1,79,0.08737249579014263,0.08737249579014263,1.0,0.5530396776003231,0.19472996052072747,0.2539190208078158
