candidate,baseline_feature,pooled_rank_correlation,median_cross_sectional_correlation
mom_20,mom_12_1,0.06505263784425276,0.08895382817066043
mom_20,mom_63,0.5812164195708641,0.6111141983884413
mom_20,vol_63,0.06618441458240674,0.0838853859047011
mom_40,mom_12_1,0.232494311787527,0.2435549525101764
mom_40,mom_63,0.7719747458566577,0.7750459927355063
mom_40,vol_63,0.13038939970365326,0.15035614887494694
mom_63_rank,mom_12_1,0.3684403074267811,0.4215201465201465
mom_63_rank,mom_63,1.0,1.0
mom_63_rank,vol_63,0.2601846159080449,0.25636523266022826
mom_126,mom_12_1,0.6065186359462267,0.6342490842490842
mom_126,mom_63,0.6954046798951807,0.7086538461538462
mom_126,vol_63,0.2952943518818392,0.2336081828619142
mom_252,mom_12_1,0.9455274917755843,0.9530425118088358
mom_252,mom_63,0.5107432084893265,0.5642110304094501
mom_252,vol_63,0.283828147575039,0.23745484856904694
mom_126_skip20,mom_12_1,0.7203739278156573,0.7580373347161006
mom_126_skip20,mom_63,0.4792507762250662,0.4849002311429784
mom_126_skip20,vol_63,0.3128071502846243,0.2938127974616605
mom_252_skip20,mom_12_1,0.9522885344980111,0.9581562976474607
mom_252_skip20,mom_63,0.3570156609761417,0.41129787092803355
mom_252_skip20,vol_63,0.29017368901978086,0.30244080644973254
positive_return_ratio_63,mom_12_1,0.24179045336648056,0.23430813764198466
positive_return_ratio_63,mom_63,0.5943955233094625,0.6172200154462151
positive_return_ratio_63,vol_63,0.05555966354179407,0.0603369962658281
sign_consistency_4x20,mom_12_1,0.29153878277935474,0.2769772538301555
sign_consistency_4x20,mom_63,0.5781662827196572,0.5788687678217654
sign_consistency_4x20,vol_63,0.11044037925568667,0.10144536219814602
ret_5,mom_12_1,0.059500400900699246,0.056993254398792395
ret_5,mom_63,0.2874881972385463,0.2765129590327352
ret_5,vol_63,0.010119783977205516,0.06412892470130592
ret_10,mom_12_1,0.05866717569794008,0.09747151986662962
ret_10,mom_63,0.390619666202704,0.34192831342039454
ret_10,vol_63,0.003584487799757492,0.052292303417616
ret_20,mom_12_1,0.06505263784425276,0.08895382817066043
ret_20,mom_63,0.5812164195708641,0.6111141983884413
ret_20,vol_63,0.06618441458240674,0.0838853859047011
vol_20,mom_12_1,0.16325604829294257,0.17490404332509596
vol_20,mom_63,0.26564996029516874,0.24707887049659202
vol_20,vol_63,0.7325046149115343,0.740916977759083
vol_63_rank,mom_12_1,0.2870871255050937,0.28974358974358977
vol_63_rank,mom_63,0.2601846159080449,0.25636523266022826
vol_63_rank,vol_63,1.0,1.0
vol_126,mom_12_1,0.31468739404176715,0.3594887468741317
vol_126,mom_63,0.15375240214333274,0.17261441090555016
vol_126,vol_63,0.8452451628549152,0.8566268407891081
downside_vol_63,mom_12_1,0.12360641008988772,0.08561607615018509
downside_vol_63,mom_63,-0.18168652277600741,-0.20148272779851728
downside_vol_63,vol_63,0.7939738947712025,0.8007403490216817
downside_vol_126,mom_12_1,0.11788965228595098,0.10525145873853849
downside_vol_126,mom_63,-0.10316176766214141,-0.07577132486388385
downside_vol_126,vol_63,0.7046789105833745,0.7318618881118881
max_drawdown_63,mom_12_1,0.07842415361311753,0.07763088313061872
max_drawdown_63,mom_63,0.4744674872595321,0.4468147282291058
max_drawdown_63,vol_63,-0.42185169735315015,-0.40766879688802443
log_adv20,mom_12_1,0.04619952011520525,0.029161882893226177
log_adv20,mom_63,0.07200548583675821,0.08480133370380662
log_adv20,vol_63,0.015779919594877945,0.01650458460683523
log_adv63,mom_12_1,0.05483550405266394,0.04420534093855328
log_adv63,mom_63,0.03356233693988188,0.031227106227106227
log_adv63,vol_63,0.00261549119845599,-0.02273249138920781
log_amihud20,mom_12_1,-0.006457802018563484,-0.011864406779661017
log_amihud20,mom_63,-0.015614121366392454,-0.059351856219633
log_amihud20,vol_63,0.1119754204022248,0.10802630205615281
log_amihud63,mom_12_1,0.004296347415030116,-0.02811221507890123
log_amihud63,mom_63,0.012631478927008806,-0.04377289377289377
log_amihud63,vol_63,0.14368954146925236,0.1392547750756706
zero_return_ratio20,mom_12_1,-0.07598662786552854,-0.046542914903296116
zero_return_ratio20,mom_63,-0.061920765525284915,-0.07102003248555783
zero_return_ratio20,vol_63,-0.059315885837956266,-0.05085714095670663
zero_return_ratio63,mom_12_1,-0.15592998902058938,-0.1479275585803683
zero_return_ratio63,mom_63,-0.06331323397141224,-0.09222278960593897
zero_return_ratio63,vol_63,-0.1128538283340855,-0.1311847787266704
volume_cv63,mom_12_1,-0.03282658854960936,-0.042673992673992675
volume_cv63,mom_63,0.012407858596450688,0.03001460564751704
volume_cv63,vol_63,0.3216912408282788,0.3611888111888112
