candidate,family,classification,inner_selection_frequency,median_inner_delta_rank_ic,outer_mean_delta_rank_ic,outer_median_delta_rank_ic,outer_positive_delta_fold_ratio,outer_mean_delta_ndcg,outer_mean_delta_turnover,coverage
mom_20,MOMENTUM,REJECTED,1,-0.00022999042094964603,0.045965385574618454,0.045965385574618454,1.0,-0.008670639726432894,0.13072581588596688,1.0
mom_40,MOMENTUM,REJECTED,0,-0.017777084762583252,,,,,,1.0
mom_63_rank,MOMENTUM,REJECTED,0,-0.030010402122458257,,,,,,1.0
mom_126,MOMENTUM,REJECTED,0,-0.008609731394287634,,,,,,1.0
mom_252,MOMENTUM,REJECTED,1,0.0027120292193885138,-0.00805951441964807,-0.00805951441964807,0.0,-0.016381276799506628,0.0026216947375842237,1.0
mom_126_skip20,MOMENTUM,REJECTED,0,-0.0139257091522313,,,,,,1.0
mom_252_skip20,MOMENTUM,REJECTED,0,-0.009755307230504084,,,,,,0.9608621667612025
positive_return_ratio_63,MOMENTUM_CONSISTENCY,REJECTED,1,0.008687345859249128,-0.016130436293463217,-0.016130436293463217,0.0,-0.04045638675546004,0.005833398894734443,1.0
sign_consistency_4x20,MOMENTUM_CONSISTENCY,REJECTED,0,0.013063880973815634,,,,,,1.0
ret_5,REVERSAL,REJECTED,0,-0.013418609108599908,,,,,,1.0
ret_10,REVERSAL,REJECTED,0,-0.011486506957911344,,,,,,1.0
ret_20,REVERSAL,REJECTED,1,-0.00022999042094964603,0.045965385574618454,0.045965385574618454,1.0,-0.008670639726432894,0.13072581588596688,1.0
vol_20,RISK,REJECTED,1,-0.030731771178183903,0.08202267835841132,0.08202267835841132,1.0,0.049322676370247676,0.0,1.0
vol_63_rank,RISK,REJECTED,1,0.005572853358989835,0.09058263286840013,0.09058263286840013,1.0,-0.03817274434936235,0.0,1.0
vol_126,RISK,REJECTED,0,0.03408610932480336,,,,,,1.0
downside_vol_63,RISK,REJECTED,0,-0.006817396567300741,,,,,,1.0
downside_vol_126,RISK,REJECTED,0,-0.014958055022973175,,,,,,1.0
max_drawdown_63,RISK,REJECTED,0,-0.03251095692721834,,,,,,1.0
log_adv20,LIQUIDITY,REJECTED,1,0.014665664930336912,0.11118037567185626,0.11118037567185626,1.0,-0.12802627185277204,0.20911016670853677,1.0
log_adv63,LIQUIDITY,REJECTED,1,0.021816666132659916,0.10623090725264042,0.10623090725264042,1.0,-0.12957676450175537,0.1397692296370029,1.0
log_amihud20,LIQUIDITY,REJECTED,1,0.010495501873338925,0.07521247972818301,0.07521247972818301,1.0,-0.15468520883338877,0.1223826413887329,1.0
log_amihud63,LIQUIDITY,REJECTED,1,-0.0038290318191503293,0.07262630698889874,0.07262630698889874,1.0,-0.09975386498156014,0.1334987865412257,1.0
zero_return_ratio20,LIQUIDITY,REJECTED,0,-0.036535920730504795,,,,,,1.0
zero_return_ratio63,LIQUIDITY,REJECTED,0,-0.05930408937818204,,,,,,1.0
volume_cv63,LIQUIDITY,REJECTED,0,-0.000944939998804616,,,,,,1.0
