outer_fold,selected_features,selected_count,target_family,horizon_sessions,cost_bps,rank_ic_mean,rank_ic_median,rank_ic_std,positive_ic_ratio,icir,ndcg,spread,signal_dates,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events,delta_rank_ic_vs_same_procedure_baseline,delta_ndcg_vs_same_procedure_baseline
O1,mom_20|mom_252|positive_return_ratio_63|ret_20|log_adv20|log_adv63|log_amihud20|log_amihud63,8,BETA_RESIDUAL,40,0,0.11152574792850095,0.06192396313364055,0.20609343070347907,0.6666666666666666,0.5411416926188238,0.5288591840546959,0.018824622697072326,3,1.453461406172437,2.4887998588091644,5.132991914845135,-0.0910404672869154,181,1.0534308851668805,3.1602926555006414,0,0,0.06624846952138808,-0.1334933671994024
O1,mom_20|mom_252|positive_return_ratio_63|ret_20|log_adv20|log_adv63|log_amihud20|log_amihud63,8,BETA_RESIDUAL,40,30,0.11152574792850095,0.06192396313364055,0.20609343070347907,0.6666666666666666,0.5411416926188238,0.5288591840546959,0.018824622697072326,3,1.4363403419712633,2.4549502318605985,5.082892621962193,-0.09128049458300203,181,1.0543607661370615,3.163082298411185,0,0,0.06624846952138808,-0.1334933671994024
O1,mom_20|mom_252|positive_return_ratio_63|ret_20|log_adv20|log_adv63|log_amihud20|log_amihud63,8,BETA_RESIDUAL,40,50,0.11152574792850095,0.06192396313364055,0.20609343070347907,0.6666666666666666,0.5411416926188238,0.5288591840546959,0.018824622697072326,3,1.4249545551851712,2.4324912418587608,5.047670326325491,-0.09144145321022978,181,1.0549836556195487,3.164950966858646,0,0,0.06624846952138808,-0.1334933671994024
O1,mom_20|mom_252|positive_return_ratio_63|ret_20|log_adv20|log_adv63|log_amihud20|log_amihud63,8,BETA_RESIDUAL,40,100,0.11152574792850095,0.06192396313364055,0.20609343070347907,0.6666666666666666,0.5411416926188238,0.5288591840546959,0.018824622697072326,3,1.3965889002713627,2.376718664286622,4.953557624131953,-0.09184718937569059,181,1.0565513825840342,3.169654147752103,0,0,0.06624846952138808,-0.1334933671994024
O2,,0,VOL_SCALED,40,0,-0.17349172124676424,-0.09999386039772346,0.18572348607234726,0.0,-0.9341399136735016,0.4446413822186827,-0.022187549960603216,4,1.4648592635111188,2.5113857466671594,2.733124155575842,-0.27393664729492095,181,1.008536916700505,3.025610750101515,0,0,0.0,0.0
O2,,0,VOL_SCALED,40,30,-0.17349172124676424,-0.09999386039772346,0.18572348607234726,0.0,-0.9341399136735016,0.4446413822186827,-0.022187549960603216,4,1.4472552119209774,2.4765190060293487,2.709069591617447,-0.2773189953847571,181,1.0099314652316742,3.0297943956950224,0,0,0.0,0.0
O2,,0,VOL_SCALED,40,50,-0.17349172124676424,-0.09999386039772346,0.18572348607234726,0.0,-0.9341399136735016,0.4446413822186827,-0.022187549960603216,4,1.435543274940207,2.4533766375334554,2.6928178337994804,-0.2795805419200549,181,1.0108672587194987,3.0326017761584962,0,0,0.0,0.0
O2,,0,VOL_SCALED,40,100,-0.17349172124676424,-0.09999386039772346,0.18572348607234726,0.0,-0.9341399136735016,0.4446413822186827,-0.022187549960603216,4,1.4063477454325781,2.395877457588094,2.651464276159761,-0.28525788919381334,181,1.0132283721533464,3.0396851164600394,0,0,0.0,0.0
O3,,0,VOL_SCALED,60,0,0.05831387984956839,0.05831387984956839,0.3475089703440305,0.5,0.16780539446748155,0.46593612116965094,0.07011232104410542,2,0.11311770066099469,0.16090728934424514,0.7510179694883468,-0.23160178877818427,181,1.1589034983106616,3.476710494931985,0,0,0.0,0.0
O3,,0,VOL_SCALED,60,30,0.05831387984956839,0.05831387984956839,0.3475089703440305,0.5,0.16780539446748155,0.46593612116965094,0.07011232104410542,2,0.10163958956820185,0.14427439756372018,0.6875782276584715,-0.23526179044929374,181,1.1603440131687865,3.48103203950636,0,0,0.0,0.0
O3,,0,VOL_SCALED,60,50,0.05831387984956839,0.05831387984956839,0.3475089703440305,0.5,0.16780539446748155,0.46593612116965094,0.07011232104410542,2,0.09401246296537713,0.13325944571446402,0.6451823338703333,-0.23771076512527756,181,1.161310440513236,3.483931321539708,0,0,0.0,0.0
O3,,0,VOL_SCALED,60,100,0.05831387984956839,0.05831387984956839,0.3475089703440305,0.5,0.16780539446748155,0.46593612116965094,0.07011232104410542,2,0.07503187856494464,0.10597890111167207,0.5392245264291695,-0.24386509453690108,181,1.1637481130339644,3.4912443391018932,0,0,0.0,0.0
O4,vol_20|vol_63_rank,2,VOL_SCALED,20,0,-0.26849592811624695,-0.26849592811624695,0.03572757628404627,0.0,-7.51508935231469,0.39021767210876573,-0.1257070667601754,2,-0.06569257673862638,-0.24475300244254017,-0.6927528170795292,-0.13270492078128782,61,0.9999999999999999,0.9999999999999999,0,0,0.08327440522469576,0.028821742167616737
O4,vol_20|vol_63_rank,2,VOL_SCALED,20,30,-0.26849592811624695,-0.26849592811624695,0.03572757628404627,0.0,-7.51508935231469,0.39021767210876573,-0.1257070667601754,2,-0.06869257673862639,-0.2547209899329834,-0.726953440515542,-0.13309121911447885,61,0.9999999999999999,0.9999999999999999,0,0,0.08327440522469576,0.028821742167616737
O4,vol_20|vol_63_rank,2,VOL_SCALED,20,50,-0.26849592811624695,-0.26849592811624695,0.03572757628404627,0.0,-7.51508935231469,0.39021767210876573,-0.1257070667601754,2,-0.07069257673862639,-0.2613106977611166,-0.7493905034147285,-0.13335000320812584,61,0.9999999999999999,0.9999999999999999,0,0,0.08327440522469576,0.028821742167616737
O4,vol_20|vol_63_rank,2,VOL_SCALED,20,100,-0.26849592811624695,-0.26849592811624695,0.03572757628404627,0.0,-7.51508935231469,0.39021767210876573,-0.1257070667601754,2,-0.0756925767386264,-0.27759178824341435,-0.8041761270523624,-0.1340013877983255,61,0.9999999999999999,0.9999999999999999,0,0,0.08327440522469576,0.028821742167616737
