outer_fold,candidate,family,selected_inner,median_delta_rank_ic,positive_delta_fold_ratio,median_delta_ndcg,coverage,frozen_target_family,frozen_horizon
O1,mom_20,MOMENTUM,True,0.010252528639820117,0.5,0.0224232641296912,1.0,BETA_RESIDUAL,40
O1,mom_40,MOMENTUM,False,-0.01890148285123902,0.0,-0.0413770301513757,1.0,BETA_RESIDUAL,40
O1,mom_63_rank,MOMENTUM,False,-0.012477923305643658,0.5,0.012634565173405499,1.0,BETA_RESIDUAL,40
O1,mom_126,MOMENTUM,False,0.012304503485961918,0.5,-0.0076486814528015645,1.0,BETA_RESIDUAL,40
O1,mom_252,MOMENTUM,True,0.02362565591336032,0.5,0.00786926777719571,1.0,BETA_RESIDUAL,40
O1,mom_126_skip20,MOMENTUM,False,-0.0032938587666433636,0.0,-0.008256061399429165,1.0,BETA_RESIDUAL,40
O1,mom_252_skip20,MOMENTUM,False,0.0036726357576976967,0.5,-0.005838142008051828,1.0,BETA_RESIDUAL,40
O1,positive_return_ratio_63,MOMENTUM_CONSISTENCY,True,0.010723125516985864,1.0,0.024092049702659657,1.0,BETA_RESIDUAL,40
O1,sign_consistency_4x20,MOMENTUM_CONSISTENCY,False,0.017320424255779857,1.0,-0.004763378970368354,1.0,BETA_RESIDUAL,40
O1,ret_5,REVERSAL,False,-0.014149524293146566,0.0,0.0022530949571807346,1.0,BETA_RESIDUAL,40
O1,ret_10,REVERSAL,False,-0.03872164362386745,0.0,0.032507621492895766,1.0,BETA_RESIDUAL,40
O1,ret_20,REVERSAL,True,0.010252528639820117,0.5,0.0224232641296912,1.0,BETA_RESIDUAL,40
O1,vol_20,RISK,False,-0.05895156061869039,0.5,0.026683895042395378,1.0,BETA_RESIDUAL,40
O1,vol_63_rank,RISK,False,-0.05453063271087437,0.0,0.011512838959327892,1.0,BETA_RESIDUAL,40
O1,vol_126,RISK,False,0.05123310114878654,1.0,-0.007978406593607823,1.0,BETA_RESIDUAL,40
O1,downside_vol_63,RISK,False,-0.03203795434874951,0.0,-0.013869321027564024,1.0,BETA_RESIDUAL,40
O1,downside_vol_126,RISK,False,-0.026630321960442405,0.0,-0.003396092353031177,1.0,BETA_RESIDUAL,40
O1,max_drawdown_63,RISK,False,-0.02119394595561347,0.0,-0.0027693263422001457,1.0,BETA_RESIDUAL,40
O1,log_adv20,LIQUIDITY,True,0.03178884300556029,0.5,0.041736198884123527,1.0,BETA_RESIDUAL,40
O1,log_adv63,LIQUIDITY,True,0.043449329794674765,0.5,0.04166936965761828,1.0,BETA_RESIDUAL,40
O1,log_amihud20,LIQUIDITY,True,0.024905864655890994,0.5,0.02250263542894146,1.0,BETA_RESIDUAL,40
O1,log_amihud63,LIQUIDITY,True,0.02634560047011783,0.5,0.013496377783644459,1.0,BETA_RESIDUAL,40
O1,zero_return_ratio20,LIQUIDITY,False,-0.07424555990968121,0.5,-0.02365786871868225,1.0,BETA_RESIDUAL,40
O1,zero_return_ratio63,LIQUIDITY,False,-0.09533778540015908,0.5,-0.04382339060527321,1.0,BETA_RESIDUAL,40
O1,volume_cv63,LIQUIDITY,False,-0.009704803058320798,0.5,0.041630196659105195,1.0,BETA_RESIDUAL,40
O2,mom_20,MOMENTUM,False,-0.006643295301491117,0.5,0.005241249629644562,1.0,VOL_SCALED,40
O2,mom_40,MOMENTUM,False,-0.045958078188357204,0.0,-0.018410186951041463,1.0,VOL_SCALED,40
O2,mom_63_rank,MOMENTUM,False,-0.05435175481127985,0.5,-0.00898653973469643,1.0,VOL_SCALED,40
O2,mom_126,MOMENTUM,False,-0.043140731331895533,0.0,-0.010421705173073503,1.0,VOL_SCALED,40
O2,mom_252,MOMENTUM,False,-0.0025393994207015616,0.0,-0.0033201106221381615,1.0,VOL_SCALED,40
O2,mom_126_skip20,MOMENTUM,False,-0.03980619705479434,0.5,0.009024003037818085,1.0,VOL_SCALED,40
O2,mom_252_skip20,MOMENTUM,False,-0.023183250218705865,0.0,0.007847838684868491,0.9973118279569892,VOL_SCALED,40
O2,positive_return_ratio_63,MOMENTUM_CONSISTENCY,False,-0.0028162553723249262,0.5,-0.006969497113973211,1.0,VOL_SCALED,40
O2,sign_consistency_4x20,MOMENTUM_CONSISTENCY,False,0.015487010618526753,0.5,-0.002856751626384657,1.0,VOL_SCALED,40
O2,ret_5,REVERSAL,False,-0.01268769392405325,0.0,-0.008314373065112624,1.0,VOL_SCALED,40
O2,ret_10,REVERSAL,False,-0.004798749353912508,0.5,0.011428212049253317,1.0,VOL_SCALED,40
O2,ret_20,REVERSAL,False,-0.006643295301491117,0.5,0.005241249629644562,1.0,VOL_SCALED,40
O2,vol_20,RISK,False,-0.05361977353824888,0.5,-0.014391950883277826,1.0,VOL_SCALED,40
O2,vol_63_rank,RISK,False,-0.013488661440489446,0.0,0.0005802903517779789,1.0,VOL_SCALED,40
O2,vol_126,RISK,False,0.03722986234442153,1.0,-0.056666165358140896,1.0,VOL_SCALED,40
O2,downside_vol_63,RISK,False,-0.015992007650756923,0.5,0.004149116383315055,1.0,VOL_SCALED,40
O2,downside_vol_126,RISK,False,-0.03601743465179992,0.0,-0.012635021577363181,1.0,VOL_SCALED,40
O2,max_drawdown_63,RISK,False,-0.029451806782819424,0.0,-0.002255977071199289,1.0,VOL_SCALED,40
O2,log_adv20,LIQUIDITY,False,-0.05343489079716773,0.5,-0.11275362742343017,1.0,VOL_SCALED,40
O2,log_adv63,LIQUIDITY,False,-0.06825920026428235,0.5,-0.1033956282753461,1.0,VOL_SCALED,40
O2,log_amihud20,LIQUIDITY,False,-0.0937435431266323,0.5,-0.13828172878109457,1.0,VOL_SCALED,40
O2,log_amihud63,LIQUIDITY,False,-0.09202338680156222,0.5,-0.11293643495292427,1.0,VOL_SCALED,40
O2,zero_return_ratio20,LIQUIDITY,False,-0.10618744573256467,0.5,-0.04306672459794442,1.0,VOL_SCALED,40
O2,zero_return_ratio63,LIQUIDITY,False,-0.16183952183053638,0.5,-0.06802944999664848,1.0,VOL_SCALED,40
O2,volume_cv63,LIQUIDITY,False,-0.07393070611367697,0.5,-0.05652291978333279,1.0,VOL_SCALED,40
O3,mom_20,MOMENTUM,False,0.006183314459591825,0.5,-0.00420817020226355,1.0,VOL_SCALED,60
O3,mom_40,MOMENTUM,False,0.016696858428317193,1.0,-0.030083717852213587,1.0,VOL_SCALED,60
O3,mom_63_rank,MOMENTUM,False,-0.02081087335825535,0.0,-0.01569787036714393,1.0,VOL_SCALED,60
O3,mom_126,MOMENTUM,False,0.00041996734809322464,0.5,0.0008395858636601194,1.0,VOL_SCALED,60
O3,mom_252,MOMENTUM,False,0.00796345785947859,1.0,-0.017864895845270456,1.0,VOL_SCALED,60
O3,mom_126_skip20,MOMENTUM,False,-0.008948279518729296,0.0,-0.002793228103057821,1.0,VOL_SCALED,60
O3,mom_252_skip20,MOMENTUM,False,0.016777372437717344,0.5,-0.010708133213599758,0.994760807548826,VOL_SCALED,60
O3,positive_return_ratio_63,MOMENTUM_CONSISTENCY,False,0.011964226575853526,0.5,-0.015032261847114703,1.0,VOL_SCALED,60
O3,sign_consistency_4x20,MOMENTUM_CONSISTENCY,False,0.010640751329104515,0.5,-0.009364364846785933,1.0,VOL_SCALED,60
O3,ret_5,REVERSAL,False,-0.024493310080089103,0.0,-0.04186097140518508,1.0,VOL_SCALED,60
O3,ret_10,REVERSAL,False,-0.009624715232493825,0.5,-0.02282603373360448,1.0,VOL_SCALED,60
O3,ret_20,REVERSAL,False,0.006183314459591825,0.5,-0.00420817020226355,1.0,VOL_SCALED,60
O3,vol_20,RISK,False,-0.007843768818118928,0.5,-0.007616191639566672,1.0,VOL_SCALED,60
O3,vol_63_rank,RISK,False,0.040607532239631886,1.0,-0.016106923834077358,1.0,VOL_SCALED,60
O3,vol_126,RISK,False,0.03094235630518519,1.0,-0.024141574922178,1.0,VOL_SCALED,60
O3,downside_vol_63,RISK,False,0.002357214516155441,0.5,-0.03052897973297153,1.0,VOL_SCALED,60
O3,downside_vol_126,RISK,False,-0.0019928511430147462,0.5,-0.0261878206083751,1.0,VOL_SCALED,60
O3,max_drawdown_63,RISK,False,-0.039237463768913135,0.0,-0.014565915472975699,1.0,VOL_SCALED,60
O3,log_adv20,LIQUIDITY,False,0.04351888610023545,0.5,-0.0370369434644397,1.0,VOL_SCALED,60
O3,log_adv63,LIQUIDITY,False,0.04040591106610033,0.5,-0.04924732857199529,1.0,VOL_SCALED,60
O3,log_amihud20,LIQUIDITY,False,0.032177105112281064,0.5,-0.06178406744651413,1.0,VOL_SCALED,60
O3,log_amihud63,LIQUIDITY,False,0.0056106942178379,0.5,-0.05966056807511205,1.0,VOL_SCALED,60
O3,zero_return_ratio20,LIQUIDITY,False,0.0012603712534553224,1.0,-0.005987099074636126,1.0,VOL_SCALED,60
O3,zero_return_ratio63,LIQUIDITY,False,-0.023270393356204996,0.5,-0.004444912263307288,1.0,VOL_SCALED,60
O3,volume_cv63,LIQUIDITY,False,0.022751624548770614,1.0,-0.010006271520226206,1.0,VOL_SCALED,60
O4,mom_20,MOMENTUM,False,-0.011547960291838875,0.5,-0.003345251239455227,1.0,VOL_SCALED,20
O4,mom_40,MOMENTUM,False,-0.01665268667392748,0.5,-0.015869291728754453,1.0,VOL_SCALED,20
O4,mom_63_rank,MOMENTUM,False,-0.039209930886661165,0.0,-0.014299469769679274,1.0,VOL_SCALED,20
O4,mom_126,MOMENTUM,False,-0.017639430136668494,0.0,0.008776590505940707,1.0,VOL_SCALED,20
O4,mom_252,MOMENTUM,False,-0.024413281789769547,0.0,-0.013539176237440526,1.0,VOL_SCALED,20
O4,mom_126_skip20,MOMENTUM,False,-0.018903138785733305,0.0,0.016979961367217578,1.0,VOL_SCALED,20
O4,mom_252_skip20,MOMENTUM,False,-0.04200565014579382,0.5,0.009669072905122311,0.991409896104887,VOL_SCALED,20
O4,positive_return_ratio_63,MOMENTUM_CONSISTENCY,False,0.006651566201512391,0.5,0.015308377646509386,1.0,VOL_SCALED,20
O4,sign_consistency_4x20,MOMENTUM_CONSISTENCY,False,-0.014234900958734045,0.5,-0.00936090146198551,1.0,VOL_SCALED,20
O4,ret_5,REVERSAL,False,0.004179829209099324,0.5,-0.005200195690525045,1.0,VOL_SCALED,20
O4,ret_10,REVERSAL,False,-0.013348298683328864,0.5,-0.007743002480591232,1.0,VOL_SCALED,20
O4,ret_20,REVERSAL,False,-0.011547960291838875,0.5,-0.003345251239455227,1.0,VOL_SCALED,20
O4,vol_20,RISK,True,0.010898754131927323,0.5,0.01404699555468647,1.0,VOL_SCALED,20
O4,vol_63_rank,RISK,True,0.024634368158469117,1.0,0.01162049909044599,1.0,VOL_SCALED,20
O4,vol_126,RISK,False,0.004783842948614215,0.5,0.0043958972188044565,1.0,VOL_SCALED,20
O4,downside_vol_63,RISK,False,0.006064657104730413,0.5,0.007400457161055807,1.0,VOL_SCALED,20
O4,downside_vol_126,RISK,False,-0.0032857880855039455,0.5,-0.010072448057759031,1.0,VOL_SCALED,20
O4,max_drawdown_63,RISK,False,-0.03557010707161725,0.0,-0.03228045439217253,1.0,VOL_SCALED,20
O4,log_adv20,LIQUIDITY,False,-0.002457513144886469,0.5,-0.01758206391620054,1.0,VOL_SCALED,20
