candidate,family,observations,non_missing,coverage,missingness,minimum,p01,median,p99,maximum,unique_count,first_valid_signal,last_valid_signal,ticker_coverage,signal_date_coverage,iqr,outlier_ratio_3iqr,max_ticker_share,min_year_coverage,yearly_median_std
downside_vol_126,RISK,1763,1763,1.0,0.0,0.0054209827851552685,0.008549802310745192,0.01798244387114845,0.03295234181262392,0.043448731184857446,1763,2019-01-04,2025-04-08,1.0,1.0,0.005801720042058551,0.0011344299489506524,0.015314804310833806,1.0,0.00241602001287221
downside_vol_63,RISK,1763,1763,1.0,0.0,0.005108053218907309,0.007449239704575358,0.01761847928225265,0.0370689048730708,0.04913677444781447,1763,2019-01-04,2025-04-08,1.0,1.0,0.007562227307207341,0.0011344299489506524,0.015314804310833806,1.0,0.0027141062045825557
log_adv20,LIQUIDITY,1763,1763,1.0,0.0,11.62404189338571,13.72137299255048,19.021725995830884,22.469427692199883,23.156112777168747,1763,2019-01-04,2025-04-08,1.0,1.0,2.590258957422506,0.0,0.015314804310833806,1.0,1.1763211983584558
log_adv63,LIQUIDITY,1763,1763,1.0,0.0,11.837787378217353,13.875247054880191,18.993528709558447,22.39456135371723,23.071603455009342,1761,2019-01-04,2025-04-08,1.0,1.0,2.5008892501674964,0.0,0.015314804310833806,1.0,1.189649699696057
log_amihud20,LIQUIDITY,1763,1763,1.0,0.0,0.0013904697186790918,0.0033148972516346725,0.09545398067766912,3.032350916222749,11.684307718728407,1763,2019-01-04,2025-04-08,1.0,1.0,0.2804490721403282,0.0737379466817924,0.015314804310833806,1.0,0.18915382946742504
log_amihud63,LIQUIDITY,1763,1763,1.0,0.0,0.0012161359418930732,0.0034901586721596675,0.11881003352897966,7.857577063255194,12.079821748942276,1763,2019-01-04,2025-04-08,1.0,1.0,0.4044457439682582,0.07884288145207033,0.015314804310833806,1.0,0.20982830526022253
max_drawdown_63,RISK,1763,1763,1.0,0.0,-0.7,-0.49806912561274236,-0.17583497053045272,-0.056851690319830554,-0.02813070841556109,1762,2019-01-04,2025-04-08,1.0,1.0,0.11209710916778182,0.0045377197958026095,0.015314804310833806,1.0,0.025654846232278258
mom_126,MOMENTUM,1763,1763,1.0,0.0,-0.7033468636388542,-0.449075095713269,0.1764379374431384,2.3139876312261674,8.113300264272704,1763,2019-01-04,2025-04-08,1.0,1.0,0.5529061566338664,0.013613159387407828,0.015314804310833806,1.0,0.19103647073306276
mom_126_skip20,MOMENTUM,1763,1763,1.0,0.0,-0.6630302857546797,-0.41940468641931644,0.22145216283449298,2.6137330857435024,6.201023267663043,1762,2019-01-04,2025-04-08,1.0,1.0,0.5877856111330648,0.01474758933635848,0.015314804310833806,1.0,0.22144638656282836
mom_20,MOMENTUM,1763,1763,1.0,0.0,-0.5875266209107,-0.3891806111118618,0.02425530616273286,0.5565658485434938,1.5967741966495659,1760,2019-01-04,2025-04-08,1.0,1.0,0.1944289861555325,0.005104934770277935,0.015314804310833806,1.0,0.05494182655590863
mom_252,MOMENTUM,1763,1763,1.0,0.0,-0.7575155814595324,-0.5487221493146262,0.444037099828416,6.20710934101517,15.222222222222221,1763,2019-01-04,2025-04-08,1.0,1.0,1.0629406783707378,0.02212138400453772,0.015314804310833806,1.0,0.44440784561266156
mom_252_skip20,MOMENTUM,1763,1694,0.9608621667612025,0.03913783323879749,-0.7409340684100958,-0.524994303816121,0.5280899574386312,6.326029679254264,15.599598286264438,1694,2019-03-29,2025-04-08,0.9302325581395349,0.9629629629629629,1.1746970555411629,0.02066115702479339,0.015348288075560802,0.8074324324324325,0.5294531278951604
mom_40,MOMENTUM,1763,1763,1.0,0.0,-0.627081931081267,-0.424646486171949,0.02830198369323389,0.8432534756468487,2.439981283781587,1759,2019-01-04,2025-04-08,1.0,1.0,0.2735235101495216,0.006239364719228588,0.015314804310833806,1.0,0.06917885250806706
mom_63_rank,MOMENTUM,1763,1763,1.0,0.0,-0.6455542351091532,-0.40663315390675514,0.0870788519546235,1.3367053926391315,3.2526932728485516,1763,2019-01-04,2025-04-08,1.0,1.0,0.35622859813430147,0.009075439591605219,0.015314804310833806,1.0,0.07359360699589394
positive_return_ratio_63,MOMENTUM_CONSISTENCY,1763,1763,1.0,0.0,0.25396825396825395,0.3273015873015873,0.49206349206349204,0.656825396825395,0.7619047619047619,31,2019-01-04,2025-04-08,1.0,1.0,0.07936507936507936,0.0,0.015314804310833806,1.0,0.01997310697161574
ret_10,REVERSAL,1763,1763,1.0,0.0,-0.4737794392813257,-0.33711222319481365,0.005774768674779107,0.32096186566893625,0.9278131316700258,1753,2019-01-04,2025-04-08,1.0,1.0,0.11299445103714428,0.008508224617129892,0.015314804310833806,1.0,0.03638360571330615
ret_20,REVERSAL,1763,1763,1.0,0.0,-0.5875266209107,-0.3891806111118618,0.02425530616273286,0.5565658485434938,1.5967741966495659,1760,2019-01-04,2025-04-08,1.0,1.0,0.1944289861555325,0.005104934770277935,0.015314804310833806,1.0,0.05494182655590863
ret_5,REVERSAL,1763,1763,1.0,0.0,-0.35428570338657916,-0.2299315741876714,-2.220446049250313e-16,0.2190423700145635,0.35436888844075476,1748,2019-01-04,2025-04-08,1.0,1.0,0.0713738155794833,0.01474758933635848,0.015314804310833806,1.0,0.01567567167489409
sign_consistency_4x20,MOMENTUM_CONSISTENCY,1763,1763,1.0,0.0,0.0,0.0,0.75,1.0,1.0,5,2019-01-04,2025-04-08,1.0,1.0,0.25,0.0,0.015314804310833806,1.0,0.13363062095621217
vol_126,RISK,1763,1763,1.0,0.0,0.009647593789086651,0.01475247718908527,0.02728471502272946,0.05232672505944992,0.06274179048932521,1763,2019-01-04,2025-04-08,1.0,1.0,0.009765302644296939,0.0005672149744753262,0.015314804310833806,1.0,0.004565221590336275
vol_20,RISK,1763,1763,1.0,0.0,0.007425648233178142,0.009412670895753986,0.02482781807225035,0.06139086509639695,0.0900183095133606,1763,2019-01-04,2025-04-08,1.0,1.0,0.013939798698985695,0.0017016449234259785,0.015314804310833806,1.0,0.004877736032075
vol_63_rank,RISK,1763,1763,1.0,0.0,0.00949346241007714,0.012153547791010678,0.02680906666590139,0.055036319722779836,0.0673097220032299,1763,2019-01-04,2025-04-08,1.0,1.0,0.01034678856565565,0.0011344299489506524,0.015314804310833806,1.0,0.004767310466541537
volume_cv63,LIQUIDITY,1763,1763,1.0,0.0,0.2162611132564553,0.2757993827110917,0.5571649060992215,1.4854898928847484,4.0397028093395875,1763,2019-01-04,2025-04-08,1.0,1.0,0.2675940530222525,0.009075439591605219,0.015314804310833806,1.0,0.0734012479335149
zero_return_ratio20,LIQUIDITY,1763,1763,1.0,0.0,0.0,0.0,0.0,0.3,0.5,11,2019-01-04,2025-04-08,1.0,1.0,0.05,0.01758366420873511,0.015314804310833806,1.0,0.018898223650461364
