,mom_20,mom_40,mom_63_rank,mom_126,mom_252,mom_126_skip20,mom_252_skip20,positive_return_ratio_63,sign_consistency_4x20,ret_5,ret_10,ret_20,vol_20,vol_63_rank,vol_126,downside_vol_63,downside_vol_126,max_drawdown_63,log_adv20,log_adv63,log_amihud20,log_amihud63,zero_return_ratio20,zero_return_ratio63,volume_cv63,base_rank_mom_12_1,base_rank_mom_63,base_rank_vol_63
mom_20,1.0,0.6904986989485024,0.5812164195708641,0.42577059423564173,0.30385215274258104,0.07851781190654042,0.05774053488537155,0.3950900017387767,0.3192221063046687,0.5048220518208691,0.6574911210483609,1.0,0.21380574730561674,0.06618441458240674,0.024889428957977525,-0.2041090573264681,-0.14098661743159988,0.30788408615720303,0.03292656482225771,-0.03222020598508764,0.006818204409412088,0.030057700209967363,-0.03345146216842787,-0.012961508521680539,0.0197533246515174,0.06505263784425276,0.5812164195708641,0.06618441458240674
mom_40,0.6904986989485024,1.0,0.7719747458566577,0.5673504852460983,0.41125009591119505,0.31695293817426784,0.22942917220192677,0.4909880890742082,0.4728205155063534,0.35107569568465324,0.47570079124424025,0.6904986989485024,0.22237643323057613,0.13038939970365326,0.05615128125979814,-0.22489583530131452,-0.1593132876254874,0.4614304723566323,0.04877540897160978,-0.015731461679692,-0.0012043179798693065,0.02384737080973633,-0.04000842440445312,-0.013430324543664093,0.0066951538254607585,0.232494311787527,0.7719747458566577,0.13038939970365326
mom_63_rank,0.5812164195708641,0.7719747458566577,1.0,0.6954046798951807,0.5107432084893265,0.4792507762250662,0.3570156609761417,0.5943955233094625,0.5781662827196572,0.2874881972385463,0.390619666202704,0.5812164195708641,0.26564996029516874,0.2601846159080449,0.15375240214333274,-0.18168652277600741,-0.10316176766214141,0.4744674872595321,0.07200548583675821,0.03356233693988188,-0.015614121366392454,0.012631478927008806,-0.061920765525284915,-0.06331323397141224,0.012407858596450688,0.3684403074267811,1.0,0.2601846159080449
mom_126,0.42577059423564173,0.5673504852460983,0.6954046798951807,1.0,0.7020062175835792,0.8235163829373153,0.5783847012807165,0.4481002706633327,0.4970022970793966,0.22113432062549518,0.3017346404665182,0.42577059423564173,0.25618273833601557,0.2952943518818392,0.25339905037640625,-0.010985746076052566,-0.08895628903773425,0.25544235876842347,0.061555516443699415,0.04182410871976899,-0.0005411442279093997,0.012710551667178174,-0.10136437160285995,-0.1080091732648005,-0.0023334837610972815,0.6065186359462267,0.6954046798951807,0.2952943518818392
mom_252,0.30385215274258104,0.41125009591119505,0.5107432084893265,0.7020062175835792,1.0,0.6976006934070893,0.9066257080340313,0.3227056236051017,0.3545463600830189,0.1907008145595011,0.22593779798574293,0.30385215274258104,0.2078151313815458,0.283828147575039,0.2942878348304247,0.05345895982055818,0.05970929067955258,0.16197513384847034,0.048023898482385696,0.03828687088855996,-0.0006229226399446469,0.013382717863572938,-0.07663575022260423,-0.13699808287864382,-0.018537323884933003,0.9455274917755843,0.5107432084893265,0.283828147575039
mom_126_skip20,0.07851781190654042,0.31695293817426784,0.4792507762250662,0.8235163829373153,0.6976006934070893,1.0,0.6947943921170987,0.30552208588038515,0.4033915985932635,0.015448805187082058,0.03994610858180237,0.07851781190654042,0.2064599527594291,0.3128071502846243,0.3069753576275716,0.09827174098172028,0.02496660794683486,0.1300694559217113,0.06922703512058659,0.07338734505520027,-0.017360898633625197,-0.013111000410576673,-0.09122855040369188,-0.13439736529793694,-0.044704890442440685,0.7203739278156573,0.4792507762250662,0.3128071502846243
mom_252_skip20,0.05774053488537155,0.22942917220192677,0.3570156609761417,0.5783847012807165,0.9066257080340313,0.6947943921170987,1.0,0.23818373579657226,0.28569882661424434,0.053203460911010865,0.05133003856745778,0.05774053488537155,0.17869263216146053,0.29017368901978086,0.3227854997472366,0.1312454430582633,0.13737359948902647,0.06743078215132049,0.04791952503225017,0.05368076110260743,-0.006283434589011263,0.012034939374617977,-0.0892330828111082,-0.16505311613972576,-0.028672816223873448,0.9522885344980111,0.3570156609761417,0.29017368901978086
positive_return_ratio_63,0.3950900017387767,0.4909880890742082,0.5943955233094625,0.4481002706633327,0.3227056236051017,0.30552208588038515,0.23818373579657226,1.0,0.44291663075376575,0.21520390697465377,0.2801642459338829,0.3950900017387767,0.07461977520371438,0.05555966354179407,0.0021747386769393456,-0.10270545160323279,-0.08282765501323684,0.3426388057306066,0.02470954797140279,0.006317897889512586,-0.002888318748723307,-0.003084664394854671,-0.2142111497546186,-0.24601004961813663,-0.13502060801667565,0.24179045336648056,0.5943955233094625,0.05555966354179407
sign_consistency_4x20,0.3192221063046687,0.4728205155063534,0.5781662827196572,0.4970022970793966,0.3545463600830189,0.4033915985932635,0.28569882661424434,0.44291663075376575,1.0,0.11796275398625508,0.21267879236416978,0.3192221063046687,0.1347376590974593,0.11044037925568667,0.02287977938562607,-0.14494975778600908,-0.1353812751575057,0.36503152322488447,0.028338275861174617,0.008276297218983143,0.00019210067617355975,0.007886435120880914,-0.029752464958527687,-0.049943502789681245,-0.02092294313678079,0.29153878277935474,0.5781662827196572,0.11044037925568667
ret_5,0.5048220518208691,0.35107569568465324,0.2874881972385463,0.22113432062549518,0.1907008145595011,0.015448805187082058,0.053203460911010865,0.21520390697465377,0.11796275398625508,1.0,0.6844609798376468,0.5048220518208691,0.049634154039706384,0.010119783977205516,0.005455894337658133,-0.11456772042953718,-0.05755448297569745,0.10793376493479502,-0.020385014517969192,-0.03813109885624717,0.03407283242952568,0.03474163434070808,-0.005679950791734289,0.017691298359194942,0.006839714124093055,0.059500400900699246,0.2874881972385463,0.010119783977205516
