outer_fold,architecture,target_family,horizon_sessions,train_observations,test_observations,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,FACTOR_COMPOSITE,BETA_RESIDUAL,40,715,186,3,186,0.10066897200665359,0.12401426148932476,1.0,0.5608958699125691,0.09473655327384628,0.12982273567318545
O1,RIDGE,BETA_RESIDUAL,40,715,186,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,0.03921423295241067
O1,LGBM_REGRESSION,BETA_RESIDUAL,40,715,186,3,186,0.19607761296979434,0.2176715754376216,1.0,0.7404953740906816,0.1637902152357695,0.04788238619821802
O1,LAMBDAMART,BETA_RESIDUAL,40,715,186,3,186,0.10741535641024758,0.06818918238277108,1.0,0.6531765591691838,0.06813886002080247,0.6354597875103822
O2,FACTOR_COMPOSITE,VOL_SCALED,40,962,263,4,263,-0.06307759614178055,-0.0583040780147419,0.5,0.4325500393741923,-0.05489069959792051,0.15775128426396903
O2,RIDGE,VOL_SCALED,40,962,263,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,0.03889678520628956
O2,LGBM_REGRESSION,VOL_SCALED,40,962,263,4,263,0.0011957293751263462,0.03605268344285645,0.75,0.4993521204816811,0.0500879046108777,1.9938578559453686
O2,LAMBDAMART,VOL_SCALED,40,962,263,4,263,-0.024749118081768082,-0.014496647154456609,0.5,0.45175681891147146,-0.003084356488335469,0.3896917448562589
O3,FACTOR_COMPOSITE,VOL_SCALED,60,1167,149,2,149,0.09408664361152275,0.09408664361152275,0.5,0.42149356935629323,0.050340114645963316,0.17846833962752007
O3,RIDGE,VOL_SCALED,60,1167,149,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.01340951149207889
O3,LGBM_REGRESSION,VOL_SCALED,60,1167,149,2,149,0.15600342952902432,0.15600342952902432,1.0,0.565902158916953,0.08616433024795167,2.367448231193804
O3,LAMBDAMART,VOL_SCALED,60,1167,149,2,149,0.1238182217263609,0.1238182217263609,1.0,0.5420655169829222,0.056949526046181614,0.48085038984687567
O4,FACTOR_COMPOSITE,VOL_SCALED,20,1591,165,2,165,0.2185591776925938,0.2185591776925938,1.0,0.5662888543527244,0.03945399936771364,0.17262791618029083
O4,RIDGE,VOL_SCALED,20,1591,165,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,0.010767042138466926
O4,LGBM_REGRESSION,VOL_SCALED,20,1591,165,2,165,0.11771600455802086,0.11771600455802086,1.0,0.5402483110485522,0.030417203281978406,1.0796785462300433
O4,LAMBDAMART,VOL_SCALED,20,1591,165,2,165,0.09546249623194634,0.09546249623194634,0.5,0.6507785731768849,-0.09987300158648665,0.3119492899383034
