outer_fold,architecture,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,FACTOR_COMPOSITE,2020,RAW,20,236,2019-10-28,3,180,0.08675676070607535,0.3135587441322437,0.6666666666666666,0.5347632158260774,0.002900540800666991,0.14009360780592375
O1,FACTOR_COMPOSITE,2020,RAW,40,236,2019-11-26,3,179,0.0010406332795604124,0.004735803868037532,0.6666666666666666,0.55186710218732,-0.012660836980956686,0.14015742825021285
O1,FACTOR_COMPOSITE,2020,RAW,60,236,2019-12-24,3,177,0.008009715778131676,0.04557480389055872,0.6666666666666666,0.5841296720389569,-0.029281400836206662,0.13882541360326264
O1,FACTOR_COMPOSITE,2020,SECTOR_RELATIVE,20,236,2019-10-28,3,180,0.05097164746149957,0.19855475885209206,0.6666666666666666,0.48859484408869785,0.002900540800666991,0.14009360780592375
O1,FACTOR_COMPOSITE,2020,SECTOR_RELATIVE,40,236,2019-11-26,3,179,0.03243801044436123,0.1343385256035256,0.6666666666666666,0.5437651801983702,-0.012660836980956686,0.14015742825021285
O1,FACTOR_COMPOSITE,2020,SECTOR_RELATIVE,60,236,2019-12-24,3,177,0.028802670841216127,0.11555946105155779,0.6666666666666666,0.5826495357561907,-0.029281400836206662,0.13882541360326264
O1,FACTOR_COMPOSITE,2020,BETA_RESIDUAL,20,236,2019-10-28,3,180,0.13925444242726848,0.3232028572517162,0.6666666666666666,0.5688212229705253,0.002900540800666991,0.14009360780592375
O1,FACTOR_COMPOSITE,2020,BETA_RESIDUAL,40,236,2019-11-26,3,179,0.04869046825422352,0.10547395281407046,0.6666666666666666,0.5881396759938337,-0.012660836980956686,0.14015742825021285
O1,FACTOR_COMPOSITE,2020,BETA_RESIDUAL,60,236,2019-12-24,3,177,0.07929463169263594,0.1706058726781916,0.6666666666666666,0.6297490770461512,-0.029281400836206662,0.13882541360326264
O1,FACTOR_COMPOSITE,2020,VOL_SCALED,20,236,2019-10-28,3,180,0.06833764196739035,0.26375765332222656,0.6666666666666666,0.5393423314330014,0.002900540800666991,0.14009360780592375
