outer_fold,architecture,selected_family,selected_horizon,selected_inner_score,raw_selected_horizon,raw_inner_score,sector_relative_selected_horizon,sector_relative_inner_score,beta_residual_selected_horizon,beta_residual_inner_score,vol_scaled_selected_horizon,vol_scaled_inner_score
O1,FACTOR_COMPOSITE,BETA_RESIDUAL,20,0.13857342403814144,20,0.12006494293070935,20,0.09883300166479982,20,0.13857342403814144,40,0.11584057804497916
O1,RIDGE,BETA_RESIDUAL,40,0.11581633467789587,40,0.07366238386780492,40,0.09823639562477274,40,0.11581633467789587,40,0.0817733533899902
O1,LGBM_REGRESSION,VOL_SCALED,40,0.1236053777664994,40,0.10843019635831341,40,0.003402765471220072,40,0.10914400450311477,40,0.1236053777664994
O1,LAMBDAMART,VOL_SCALED,40,0.10514284995349771,20,0.07361614870505041,20,-0.007871773703067034,20,0.032840925166757795,40,0.10514284995349771
O2,FACTOR_COMPOSITE,VOL_SCALED,60,0.17763295596978607,40,0.15887852364338662,60,0.16714753915904967,40,0.14113760043660073,60,0.17763295596978607
O2,RIDGE,VOL_SCALED,40,0.12277061853103363,40,0.10743305409834644,40,0.06630890397596471,40,0.08335920973240706,40,0.12277061853103363
O2,LGBM_REGRESSION,RAW,40,0.12753025517210698,40,0.12753025517210698,20,0.04873363440033676,40,0.12105174189433532,20,0.09422306878896741
O2,LAMBDAMART,RAW,20,0.06748723236159494,20,0.06748723236159494,20,0.055531099543013766,20,0.06708754743750155,60,0.0679155664853498
O3,FACTOR_COMPOSITE,SECTOR_RELATIVE,60,0.1087721706282293,60,0.09090268020536656,60,0.1087721706282293,60,0.08529626150218216,60,0.10799404086539138
O3,RIDGE,VOL_SCALED,60,0.09087477022377474,60,0.028029339387962877,60,0.04025426405053378,60,0.03944432403185012,60,0.09087477022377474
O3,LGBM_REGRESSION,BETA_RESIDUAL,20,0.11767725404012504,20,0.10012605707763093,20,0.10395125990444402,20,0.11767725404012504,20,0.09224957964158009
O3,LAMBDAMART,VOL_SCALED,20,0.10979534640745317,20,0.08068089711508147,20,0.08527856114634813,20,0.04680036577005366,20,0.10979534640745317
O4,FACTOR_COMPOSITE,RAW,60,0.08047904290526332,60,0.08047904290526332,60,0.083557854835467,60,0.07609559287984828,60,0.07893598413599354
O4,RIDGE,VOL_SCALED,20,0.07441914238315622,20,0.06280646767696461,20,0.059630141611141135,20,0.02485976463802765,20,0.07441914238315622
O4,LGBM_REGRESSION,RAW,60,0.08490230819570933,60,0.08490230819570933,20,0.019193554860851794,60,0.06762615511287226,60,0.08194613648013471
O4,LAMBDAMART,BETA_RESIDUAL,60,0.040697050964561256,60,0.02799511642633562,20,0.0008749338721917611,60,0.040697050964561256,60,0.035566270483331566
