outer_fold,architecture,seed,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,LGBM_REGRESSION,11,3,186,0.12271945402993047,0.21153391963585785,0.6666666666666666,0.5929968442223785,0.036618155261198694,1.6304371153980164
O1,LGBM_REGRESSION,29,3,186,0.1208134863105338,0.21477347748693584,0.6666666666666666,0.601248955844481,0.03503877502180378,1.541923989646776
O1,LGBM_REGRESSION,47,3,186,0.13166579031534884,0.2365412134322945,0.6666666666666666,0.5981249729485346,0.0469229410726186,1.561530608592584
O1,LAMBDAMART,11,3,186,0.07698139815570816,0.07911925053470474,0.6666666666666666,0.60309930263126,0.048348067976469476,0.5229505392038781
O1,LAMBDAMART,29,3,186,0.046727024045974654,0.033322130887759094,0.6666666666666666,0.5731851699724885,0.021745476587924806,0.6147312760637712
O1,LAMBDAMART,47,3,186,0.04189812861079539,0.04188519383943879,0.6666666666666666,0.6228730088208039,0.03973237399368918,0.5470242883463482
O2,LGBM_REGRESSION,11,4,263,-0.05430974076685495,-0.05938859117799609,0.25,0.494670703675984,-0.002343775697576607,0.07499821004402953
O2,LGBM_REGRESSION,29,4,263,-0.024816896757525166,-0.02569556895752089,0.25,0.5039186159320262,0.006265782149909457,0.07603643615353213
O2,LGBM_REGRESSION,47,4,263,-0.06227046506785802,-0.08011405127087859,0.25,0.488929583127411,0.02282628575171145,0.07567395005710553
O2,LAMBDAMART,11,4,263,-0.09893339595766652,-0.12085085260210378,0.25,0.457549955569668,-0.08154460647352049,0.4017263372003461
O2,LAMBDAMART,29,4,263,-0.03792354637877657,-0.04802051496912909,0.5,0.47747222192988614,-0.0440322827258677,0.3940525878068156
O2,LAMBDAMART,47,4,263,-0.042454817129407296,-0.052518411272160365,0.5,0.453545643058584,-0.07781081618399638,0.36527592409898146
O3,LGBM_REGRESSION,11,4,299,-0.05277084871719541,-0.06697864660439178,0.25,0.5440251084300566,-0.01893784251779259,0.03012368855555397
O3,LGBM_REGRESSION,29,4,299,-0.03190511920234586,-0.05406461977958177,0.25,0.5623968230366141,0.00039940235283334423,0.029322532454531272
O3,LGBM_REGRESSION,47,4,299,-0.035776493409829205,-0.05718482972791949,0.25,0.5261089521010879,-0.01111460979661598,0.03037278810982242
O3,LAMBDAMART,11,4,299,0.019358136314097038,-0.031526047731479864,0.5,0.5328374110651256,-0.059708645880457475,0.3815726582695905
O3,LAMBDAMART,29,4,299,0.01969194518544453,-0.006626757105459646,0.5,0.5148943896817728,-0.02100846324159665,0.3519108816145113
O3,LAMBDAMART,47,4,299,0.037140523270842,0.031208193959850753,0.5,0.5602976660320076,-0.0046489370549033775,0.3676900441155655
O4,LGBM_REGRESSION,11,1,79,0.056939415174095946,0.056939415174095946,1.0,0.6451339327594594,0.09796747012342248,0.04560670537864106
O4,LGBM_REGRESSION,29,1,79,0.05802199408210346,0.05802199408210346,1.0,0.5857844426546206,0.01720203958919042,0.045549215001522654
O4,LGBM_REGRESSION,47,1,79,0.0469217848674777,0.0469217848674777,1.0,0.6810227184140515,0.1724611591996692,0.045055696725073716
O4,LAMBDAMART,11,1,79,0.12416093087456596,0.12416093087456596,1.0,0.5361226898385396,0.13426901524584517,0.47057253778243674
O4,LAMBDAMART,29,1,79,0.15041382667964948,0.15041382667964948,1.0,0.6388282461903174,0.2711978621218837,0.48123604145857657
O4,LAMBDAMART,47,1,79,0.12603533371298212,0.12603533371298212,1.0,0.6515928814981173,0.2819496167305507,0.49815869863747797
