outer_fold,architecture,target_family,horizon_sessions,train_observations,test_observations,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean,portfolio_0bps_gross_or_net_return,portfolio_0bps_cagr,portfolio_0bps_sharpe,portfolio_0bps_daily_max_drawdown,portfolio_0bps_daily_observations,portfolio_0bps_turnover,portfolio_0bps_total_turnover,portfolio_0bps_trade_not_filled,portfolio_0bps_missing_mark_events,portfolio_30bps_gross_or_net_return,portfolio_30bps_cagr,portfolio_30bps_sharpe,portfolio_30bps_daily_max_drawdown,portfolio_30bps_daily_observations,portfolio_30bps_turnover,portfolio_30bps_total_turnover,portfolio_30bps_trade_not_filled,portfolio_30bps_missing_mark_events,portfolio_50bps_gross_or_net_return,portfolio_50bps_cagr,portfolio_50bps_sharpe,portfolio_50bps_daily_max_drawdown,portfolio_50bps_daily_observations,portfolio_50bps_turnover,portfolio_50bps_total_turnover,portfolio_50bps_trade_not_filled,portfolio_50bps_missing_mark_events,portfolio_100bps_gross_or_net_return,portfolio_100bps_cagr,portfolio_100bps_sharpe,portfolio_100bps_daily_max_drawdown,portfolio_100bps_daily_observations,portfolio_100bps_turnover,portfolio_100bps_total_turnover,portfolio_100bps_trade_not_filled,portfolio_100bps_missing_mark_events
O1,FACTOR_COMPOSITE,BETA_RESIDUAL,20,777,252,4,252,0.028786544328354577,0.01627977591873414,0.5,0.532142352641214,-0.020911013406916857,0.13700755388416722,2.500500195272193,4.722336694901483,6.269435594784461,-0.08689059305790081,181,1.0332807015380148,3.0998421046140443,0,0,2.4792624517231867,4.674057957208129,6.219942250788119,-0.0870978933703398,181,1.0339968237285129,3.1019904711855384,0,0,2.4651364739847295,4.642009966525615,6.185384377635542,-0.08723679905241222,181,1.0344761863403635,3.1034285590210904,0,0,2.4299352585016627,4.562371082337621,6.093807061405438,-0.08758656037256551,181,1.0356814730746786,3.107044419224036,0,0
O1,RIDGE,BETA_RESIDUAL,40,715,186,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,0.03921423295241067,3.015870627974973,5.928216963384985,7.0238441342025935,-0.08393407335736647,181,0.9035348483546995,2.7106045450640988,0,0,2.9951093523067684,5.878400060904367,6.978951490266841,-0.08418572578885086,181,0.9043761320606788,2.7131283961820363,0,0,2.9812868392798215,5.845289028754994,6.947632987544768,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0,2.9467947236772942,5.762861888012542,6.864668780573179,-0.09064061471639362,181,0.9063565286496512,2.7190695859489535,0,0
O1,LGBM_REGRESSION,VOL_SCALED,40,715,186,3,186,0.11966297860527653,0.2212620523791721,0.6666666666666666,0.5869024343805765,0.03719021116015627,1.5610395341833139,1.8560688286816251,3.3107303237222805,5.050969225404517,-0.1251276891156904,181,1.4715447457138968,4.414634237141691,0,0,1.8294107104520188,3.2548142910948146,4.9857215160249995,-0.12567322395217795,181,1.4732642414170982,4.419792724251295,0,0,1.8116937849282118,3.217766649439434,4.939866912073549,-0.12604074507885288,181,1.4744176866111403,4.423253059833421,0,0,1.7675942836544487,3.1259486453411487,4.81765315119834,-0.12697327953569293,181,1.4773265586375566,4.43197967591267,0,0
O1,LAMBDAMART,VOL_SCALED,40,715,186,3,186,0.048744141306994705,0.046094013908139386,0.6666666666666666,0.6097528326093311,0.04799075531003478,0.5647673322172283,1.855208548242043,3.3089226562628893,5.345234387346669,-0.12879709662045347,181,1.1584467815285489,3.4753403445856463,0,0,1.834048990810604,3.264528403942685,5.288548927624726,-0.12922348195499467,181,1.1594387628270486,3.478316288481146,0,0,1.8199803833446997,3.235083288452895,5.249104463787454,-0.12950951466122784,181,1.1601036124468809,3.4803108373406424,0,0,1.7849219718337817,3.161958078328704,5.145043801931434,-0.13023098018898394,181,1.162108127489289,3.486324382467867,0,0
O2,FACTOR_COMPOSITE,VOL_SCALED,60,906,196,3,196,0.06378532466046434,0.08226231445147297,0.6666666666666666,0.5107989157165013,0.05754435362620817,0.16267385762300665,0.788870671238435,1.2472783715982732,2.0967448267931617,-0.20896997161133746,181,1.3999999999999997,4.199999999999999,0,0,0.770810663882211,1.215753360703959,2.062283379306507,-0.21387928892463037,181,1.4021654831787478,4.206496449536243,0,0,0.7588109336413607,1.1948765406433361,2.0388091937145814,-0.21715997196349335,181,1.4036191835130996,4.210857550539298,0,0,0.7289524573607802,1.1431721930240584,1.9784753899249052,-0.22538925255502873,181,1.4072891412499546,4.221867423749864,0,0
O2,RIDGE,VOL_SCALED,40,962,263,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,0.03889678520628956,1.4648592635111188,2.5113857466671594,2.733124155575842,-0.27393664729492095,181,1.008536916700505,3.025610750101515,0,0,1.4472552119209774,2.4765190060293487,2.709069591617447,-0.2773189953847571,181,1.0099314652316742,3.0297943956950224,0,0,1.435543274940207,2.4533766375334554,2.6928178337994804,-0.2795805419200549,181,1.0108672587194987,3.0326017761584962,0,0,1.4063477454325781,2.395877457588094,2.651464276159761,-0.28525788919381334,181,1.0132283721533464,3.0396851164600394,0,0
O2,LGBM_REGRESSION,RAW,40,962,263,4,263,-0.046323671561458744,-0.04720866151473532,0.25,0.5123000283254365,-0.0014556105704546102,0.07538515639229854,0.9932119574443998,1.6125095648703969,2.303591374684953,-0.2675046096727932,181,1.4362297667109674,4.308689300132902,0,0,0.9731345847060651,1.57594397005471,2.2704399864277267,-0.27152364123927886,181,1.4377249149512534,4.31317474485376,0,0,0.9598040504003009,1.5517463540329905,2.247878259522128,-0.2742059400221395,181,1.438727907472911,4.3161837224187325,0,0,0.9266677676218311,1.4918772138545857,2.1899602629220136,-0.28092208211624925,181,1.4412574911471108,4.323772473441332,0,0
O2,LAMBDAMART,RAW,20,1029,263,4,263,-0.05679537466115049,-0.0635779231737182,0.5,0.45848348649413495,-0.07381661949775767,0.3823970283445882,0.5291096083130009,0.806289956420162,1.5222711302876444,-0.29782860068127404,181,1.6666666666666667,5.0,0,0,0.5099820040835055,0.7749093120611998,1.482018089143447,-0.30291494673066877,181,1.669165124662408,5.007495373987224,0,0,0.4972896952987349,0.7541721561853099,1.4547655535087163,-0.30631198976311336,181,1.6708438413258044,5.0125315239774135,0,0,0.4657665691255981,0.7029671001119451,1.3853367181956162,-0.31482629810141793,181,1.6750872242655468,5.02526167279664,0,0
O3,FACTOR_COMPOSITE,SECTOR_RELATIVE,60,1167,149,2,149,0.10337782366892036,0.10337782366892036,0.5,0.45006215996094745,0.050340114645963316,0.17846833962752007,0.1618204999050663,0.23222725757688245,1.0378502574807005,-0.3009920218180142,181,0.9450449914309041,2.8351349742927123,0,0,0.15233831451057056,0.21824796216661224,0.984190482973015,-0.30344589927406085,181,0.9463420629853,2.8390261889559,0,0,0.14602838859455813,0.20897038176693128,0.9482175749416186,-0.30508857619868823,181,0.9472188158869254,2.841656447660776,0,0,0.13029393235230713,0.1859231027397208,0.8578352568908355,-0.30921926702002245,181,0.9494281041534084,2.8482843124602253,0,0
O3,RIDGE,VOL_SCALED,60,1167,149,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.01340951149207889,0.11311770066099469,0.16090728934424514,0.7510179694883468,-0.23160178877818427,181,1.1589034983106616,3.476710494931985,0,0,0.10163958956820185,0.14427439756372018,0.6875782276584715,-0.23526179044929374,181,1.1603440131687865,3.48103203950636,0,0,0.09401246296537713,0.13325944571446402,0.6451823338703333,-0.23771076512527756,181,1.161310440513236,3.483931321539708,0,0,0.07503187856494464,0.10597890111167207,0.5392245264291695,-0.24386509453690108,181,1.1637481130339644,3.4912443391018932,0,0
O3,LGBM_REGRESSION,BETA_RESIDUAL,20,1292,299,4,299,-0.03819882346556569,-0.050031454980430934,0.25,0.5404275367788995,-0.005316293783909453,0.029688949329467355,0.20680358229839246,0.29915145395155296,1.0632021116533543,-0.17542331435467318,181,1.4000000000000001,4.2,0,0,0.19232953772211903,0.27750883835618967,1.00128133880778,-0.1758346457201755,181,1.402286192565492,4.206858577696476,0,0,0.18271494070834438,0.2631891973547704,0.9596425700651068,-0.17610993996046864,181,1.403822134056937,4.211466402170811,0,0,0.1588000033036685,0.22776935604436055,0.8547047087505556,-0.1768019617395108,181,1.4077040868135133,4.22311226044054,0,0
O3,LAMBDAMART,VOL_SCALED,20,1292,299,4,299,0.015557265228248811,-0.009163538900031075,0.25,0.544694705969565,-0.010052154385346937,0.35903090972124757,0.36882140464087887,0.5482136310912211,1.870933043362201,-0.15003377079269242,181,1.345251800053892,4.035755400161676,0,0,0.3534621226833745,0.5240802618942344,1.7967494226459977,-0.1507491923627845,181,1.3471066695568934,4.04132000867068,0,0,0.3432582702354723,0.5081066093130902,1.7467318745151297,-0.15123172190198575,181,1.3483515816407925,4.0450547449223775,0,0,0.31787335411556916,0.4685743827846971,1.6203636501418381,-0.1536724689504968,181,1.3514934799087472,4.054480439726242,0,0
O4,FACTOR_COMPOSITE,RAW,60,1383,79,1,79,0.19558985637520881,0.19558985637520881,1.0,0.5954283086506788,0.33962404941814517,0.16269279362682357,0.19506880974382912,1.0879569374734817,2.468768304405102,-0.12398669873554402,61,0.9999999999999999,0.9999999999999999,0,0,0.192068809743829,1.0663887592830656,2.4246696938300927,-0.12430701538771005,61,0.9999999999999999,0.9999999999999999,0,0,0.190068809743829,1.0521040788408191,2.395091734601311,-0.12452148088703252,61,0.9999999999999999,0.9999999999999999,0,0,0.1850688097438291,1.0167197864801265,2.3206629959570706,-0.1250608962910048,61,0.9999999999999999,0.9999999999999999,0,0
O4,RIDGE,VOL_SCALED,20,1591,165,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,0.010767042138466926,-0.0794561390848374,-0.2896662218390904,-0.8680855025786688,-0.1351046408514076,61,0.9999999999999999,0.9999999999999999,0,0,-0.08245613908483729,-0.2991808889897716,-0.9007763170521886,-0.1381046408514076,61,0.9999999999999999,0.9999999999999999,0,0,-0.08445613908483729,-0.30547011970906146,-0.9221744366985873,-0.1401046408514076,61,0.9999999999999999,0.9999999999999999,0,0,-0.0894561390848374,-0.3210060702243328,-0.9742624084162486,-0.14510464085140762,61,0.9999999999999999,0.9999999999999999,0,0
O4,LGBM_REGRESSION,RAW,60,1383,79,1,79,0.058496686292970265,0.058496686292970265,1.0,0.6346930567851525,0.044986789907069155,0.04505073166632731,0.028508876724088417,0.1231382867411992,0.5285457123583674,-0.10889550793879632,61,0.9999999999999999,0.9999999999999999,0,0,0.025508876724088303,0.10966624218871934,0.4889778706712161,-0.10919937092718346,61,0.9999999999999999,0.9999999999999999,0,0,0.0235088767240883,0.10075316946402557,0.462698103864597,-0.10940289012192905,61,0.9999999999999999,0.9999999999999999,0,0,0.018508876724088408,0.07870785192995622,0.39744157738049934,-0.10991502257965102,61,0.9999999999999999,0.9999999999999999,0,0
O4,LAMBDAMART,BETA_RESIDUAL,60,1383,79,1,79,0.13078219804403604,0.13078219804403604,1.0,0.6537054096103807,0.29054181337637297,0.4858177918913648,0.15779782674332288,0.8317921612040313,2.18822319189984,-0.10634277448807006,61,0.9999999999999999,0.9999999999999999,0,0,0.15479782674332299,0.8122634609820281,2.1440797060770738,-0.10662062006227735,61,0.9999999999999999,0.9999999999999999,0,0,0.15279782674332298,0.7993322745343538,2.1143882449878753,-0.10680665844923798,61,0.9999999999999999,0.9999999999999999,0,0,0.1477978267433231,0.7673102334343829,2.039401577874804,-0.10727460721177229,61,0.9999999999999999,0.9999999999999999,0,0
