date,nav,cash_weight,holdings,outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct
2022-02-22,1.0062341459525295,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-02-23,1.0069616386284437,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-02-24,0.9125420486335969,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-02-25,0.9689711751387798,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-02-28,0.9571179823353647,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-01,0.9786006256933579,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-02,1.0112432835932845,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-03,1.0296753428977374,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-04,1.0509252258391537,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-07,1.0302601184930034,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-08,1.062443247324354,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-09,1.1003543330819665,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-10,1.1024026799607203,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-11,1.1137260777673073,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-14,1.1357891012443595,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-15,1.1395432637766971,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-16,1.153653139198564,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-17,1.1710136120145975,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-18,1.1794743114739907,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-21,1.2100036513785641,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
2022-03-22,1.2220244147201418,0.0,5,O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1
