signal_date,trade_date,k,cost_bps,delay_sessions,capital_try,adv_limit_pct,attempted_trades,filled_now,unfilled_now,turnover_two_sided_notional,cost_try,cash_after,selected,terminal_liquidation,outer_fold,architecture,case
2022-02-21,2022-02-22,5,0,0,1000000,0.1,5,5,0,1.0,0.0,0.0,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,5,0,0,1000000,0.1,14,9,0,1.6322181533806854,0.0,2.3283064365386963e-10,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,5,0,0,1000000,0.1,24,9,1,1.7999999999999998,0.0,475217.88708121335,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,5,0,0,1000000,0.1,0,4,0,0.8447628320941569,0.0,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,5,30,0,1000000,0.1,5,5,0,0.994,2982.0,3018.0,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,5,30,0,1000000,0.1,14,9,0,1.6250509260124983,7969.277790620466,1838.7567307040363,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,5,30,0,1000000,0.1,24,10,0,1.9932188278018355,14075.172710942777,47.88544465918312,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,5,30,0,1000000,0.1,0,5,0,0.9999854976699587,9905.597942822087,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,5,50,0,1000000,0.1,5,5,0,0.99,4950.0,5050.0,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,5,50,0,1000000,0.1,14,9,0,1.6202596070008652,13206.237069017501,3095.1469955554785,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,5,50,0,1000000,0.1,24,10,0,1.988676799731851,23258.9395951124,132.43259593361654,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,5,50,0,1000000,0.1,0,5,0,0.9999594780030847,16340.165784219662,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,5,100,0,1000000,0.1,5,5,0,0.98,9800.0,10200.0,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,5,100,0,1000000,0.1,14,9,0,1.6082347503080148,26035.284132769182,6342.183308203446,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,5,100,0,1000000,0.1,24,10,0,1.9772458911257123,45532.17196308241,523.9833865786059,5,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,5,100,0,1000000,0.1,0,5,0,0.9998354996795398,31847.79152273018,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,10,0,0,1000000,0.1,10,10,0,0.9999999999999999,0.0,0.0,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,10,0,0,1000000,0.1,28,18,0,1.6146342371416909,0.0,1.7462298274040222e-10,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,10,0,0,1000000,0.1,47,19,0,1.8000000000000005,0.0,5.820766091346741e-11,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,10,0,0,1000000,0.1,0,10,0,1.0,0.0,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,10,30,0,1000000,0.1,10,10,0,0.9940000000000002,2981.9999999999995,3018.0000000000005,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,10,30,0,1000000,0.1,28,18,0,1.608114018689693,6895.0335660507935,1680.2707791832709,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,10,30,0,1000000,0.1,47,19,0,1.7943616932501747,10789.654936276007,1236.5212542471909,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,10,30,0,1000000,0.1,0,10,0,0.9995606600985979,8439.784302608303,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,10,50,0,1000000,0.1,10,10,0,0.9899999999999999,4950.0,5050.0,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,10,50,0,1000000,0.1,28,18,0,1.603748320913921,11430.797610978265,2824.3039681325718,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,10,50,0,1000000,0.1,47,19,0,1.7905823715851605,17836.65184895754,2086.0862858625333,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,10,50,0,1000000,0.1,0,10,0,0.9992515281495866,13925.205789963087,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,10,100,0,1000000,0.1,10,10,0,0.9799999999999999,9800.0,10200.0,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,10,100,0,1000000,0.1,28,18,0,1.5927674021675802,22558.557051653705,5767.684458504933,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,10,100,0,1000000,0.1,47,19,0,1.7810609244851598,34951.79814854096,4296.49220249708,10,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,10,100,0,1000000,0.1,0,10,0,0.9984203414286489,27155.9012153714,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,15,0,0,1000000,0.1,15,15,0,0.9999999999999999,0.0,1.4551915228366852e-10,15,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-05-20,2022-05-23,15,0,0,1000000,0.1,41,25,1,1.4055804522575703,0.0,92527.35847229889,15,,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-08-17,2022-08-18,15,0,0,1000000,0.1,68,27,0,1.6839291357180735,0.0,0.0,15,,O1,LGBM_REGRESSION,K_SENSITIVITY
,2022-11-11,15,0,0,1000000,0.1,0,15,0,1.0,0.0,,0,True,O1,LGBM_REGRESSION,K_SENSITIVITY
2022-02-21,2022-02-22,15,30,0,1000000,0.1,15,15,0,0.9940000000000003,2982.0000000000005,3018.000000000145,15,,O1,LGBM_REGRESSION,K_SENSITIVITY
