architecture,outer_fold,order,rank_ic,net_return
LAMBDAMART,O1,0,0.1974406373553947,0.48123104722606946
LAMBDAMART,O1,1,0.046094013908139386,0.2845549455175651
LAMBDAMART,O1,2,-0.09730222734254994,0.46520495486487934
LAMBDAMART,O2,3,-0.16458643387021826,-0.19060073040763126
LAMBDAMART,O2,4,0.03743058752278186,0.5342099169009442
LAMBDAMART,O2,5,0.0951250176309929,0.15075583920072466
LAMBDAMART,O3,6,-0.01752524278088623,0.18194854854169118
LAMBDAMART,O3,7,0.19310236915402468,0.22871598827754203
LAMBDAMART,O3,8,-0.11254623044096727,-0.08492837220171945
LAMBDAMART,O4,9,0.13078219804403604,0.15915162430790564
LGBM_REGRESSION,O1,10,0.2212620523791721,0.3886403581672586
LGBM_REGRESSION,O1,11,0.23027902805204098,0.426637671220256
LGBM_REGRESSION,O1,12,-0.09255214461538351,0.3899728712929509
LGBM_REGRESSION,O2,13,-0.07583541526446401,-0.16114086051948584
LGBM_REGRESSION,O2,14,0.26563397159003677,0.6558553276213233
LGBM_REGRESSION,O2,15,-0.018581907765006643,0.34545671426254243
LGBM_REGRESSION,O3,16,-0.021834903699748446,0.10578055377941009
LGBM_REGRESSION,O3,17,-0.12044268056240694,0.17557515316947248
LGBM_REGRESSION,O3,18,0.06771029666100606,-0.09300810847156693
LGBM_REGRESSION,O4,19,0.058496686292970265,0.03215120047130715
