outer_fold,architecture,family,case,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LGBM_REGRESSION,BASE,BASE,3,186,0.11966297860527653,0.2212620523791721,0.6666666666666666,0.5869024343805765,0.03719021116015627,1.5610395341833139,1.7732020384885172,3.170365460651265,4.894154389767288,-0.125021596033555,-0.0894157974215688,180,1.345895555162167,5.383582220648668,47,47,0,1.0,13925.205789963087,0.002243032951462403,10.0,0,0.0005645320813746892,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,ABLATION,WITHOUT_mom_12_1,3,186,0.1690480697017348,0.14166896750707317,0.6666666666666666,0.5893157224341753,0.05578097633581324,1.3557379212303466,1.8321684035746784,3.2950349554611726,5.521054016511037,-0.1050378216178115,-0.07522080854472413,180,1.2977499447208454,5.1909997788833815,46,46,0,1.0,14220.85853869986,0.002510618496295634,10.0,0,0.000779158284087614,0.009768917553592993,0.012049262492098999,0.015042210308015435,0.0
O1,LGBM_REGRESSION,ABLATION,WITHOUT_mom_63,3,186,-0.027167220323855806,-0.0256748683830278,0.3333333333333333,0.6035036328304675,-0.0035811562808616324,1.6895765776775518,1.4834003189433806,2.5732666463666707,4.143011245979091,-0.22596698795993586,-0.08924069711011828,180,1.3493299503385852,5.397319801354341,47,47,0,1.0,12460.09208708321,0.0022476351876249898,10.0,0,0.0002527232734424953,0.003111314139009941,0.00364483028883929,0.01205897470034788,0.0
O1,LGBM_REGRESSION,ABLATION,WITHOUT_vol_63,3,186,0.10852314689144571,0.13093071409180412,0.6666666666666666,0.6181785447288192,0.07394063741056116,1.4557019101667266,1.6468621248241448,2.906824002607023,4.591352545879649,-0.14733610767014504,-0.09540352812358566,180,1.4541330135251824,5.81653205410073,49,49,0,1.0,13300.299102033572,0.0016349535016992954,10.0,0,0.0004622958417689718,0.0026303020454115584,0.004055282852427699,0.0059533005985769665,0.0
O1,LGBM_REGRESSION,FEATURE_NOISE,MILD,3,186,0.13746032443023115,0.23274848193344758,0.6666666666666666,0.5886922809945024,0.059666599598922655,1.5799804666246393,1.748971243918672,3.1194408906301625,4.8617980629560185,-0.1141150485486423,-0.0894157974215688,180,1.3458939058054755,5.383575623221902,47,47,0,1.0,13803.443003179946,0.002246519734040164,10.0,0,0.0005645320813746892,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,FEATURE_NOISE,MODERATE,3,186,0.14780572269575218,0.21608842273568749,1.0,0.6007400114756857,0.03835889163088887,1.5439258222752636,1.743558964301506,3.108090645844194,5.096263951301593,-0.0940169483169282,-0.08949297616243856,180,1.3425645464715694,5.370258185886278,47,47,0,1.0,13766.288769134317,0.002243062277976704,10.0,0,0.0004633532304287149,0.0025909404750375795,0.0035984986023404296,0.007021200838242226,0.0
O1,LGBM_REGRESSION,RANK_NOISE,MILD,3,186,0.11921444761850701,0.21833842734092804,0.6666666666666666,0.593550233065186,0.03719021116015627,1.5637310333003105,1.6012808431963874,2.8129590376811597,4.555279093177849,-0.14241825567809452,-0.0894157974215688,180,1.345883188303407,5.383532753213628,47,47,0,1.0,13061.280185480025,0.0022524445457537483,10.0,0,0.0004886525723607193,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,RANK_NOISE,MODERATE,3,186,0.11722297145605819,0.21500416782439571,0.6666666666666666,0.5911408876715109,0.03275974865040151,1.5678786319880291,1.6012808431963874,2.8129590376811597,4.555279093177849,-0.14241825567809452,-0.0894157974215688,180,1.345883188303407,5.383532753213628,47,47,0,1.0,13061.280185480025,0.0022524445457537483,10.0,0,0.0004886525723607193,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,PARAMETER,LOW_COMPLEXITY,3,186,0.12529154508192647,0.21842481837087596,0.6666666666666666,0.6143561101432546,0.06642042571518077,1.3988365488902117,1.6682810143098172,2.9511561421150847,4.671313967957466,-0.13255530729893428,-0.09612338877838533,180,1.3922364726631775,5.56894589065271,48,48,0,1.0,13397.925799576215,0.001971188683790787,10.0,0,0.0006323748156540742,0.0029769235265664122,0.004013093172874781,0.006998467360163288,0.0
O1,LGBM_REGRESSION,PARAMETER,HIGH_COMPLEXITY,3,186,0.12371931273558333,0.2191126525773732,0.6666666666666666,0.5968142231352034,0.0243047027553344,1.6700159044387137,1.6981555360869054,3.0132274448811724,4.836351028745596,-0.13023686976040472,-0.08484514723573755,180,1.2990080062512595,5.196032025005038,46,46,0,1.0,13547.820334147722,0.002517836192515025,10.0,0,0.0005318611927897279,0.002800473375158827,0.004136287726048419,0.007095960954767156,0.0
O1,LAMBDAMART,BASE,BASE,3,186,0.048744141306994705,0.046094013908139386,0.6666666666666666,0.6097528326093311,0.04799075531003478,0.5647673322172283,1.781573449456761,3.1880006962042486,5.253332972861535,-0.12838500799451047,-0.07397121399350659,180,1.1114345507220553,4.445738202888221,42,42,0,1.0,13939.495698844406,0.0036430419122975557,10.0,0,0.0002921950106968226,0.003456889078159179,0.014384217928323768,0.015042210308015435,0.0
O1,LAMBDAMART,ABLATION,WITHOUT_mom_12_1,3,186,0.1742157755562165,0.19712393135402734,1.0,0.6592598139528992,0.10845392582378548,0.46901143957392416,1.9168301495291273,3.475850752538272,5.541492050329413,-0.10335223517345327,-0.08185143146202511,180,1.2463207970437709,4.985283188175083,45,45,0,1.0,14645.740198121022,0.002763646131247743,10.0,0,0.00048237389953506777,0.0059250641319390195,0.01208723942263823,0.015042210308015435,0.0
O1,LAMBDAMART,ABLATION,WITHOUT_mom_63,3,186,-0.028219433435289737,0.029691325462660054,0.6666666666666666,0.569968054588455,0.0429412645602076,0.4650253115288774,1.6751036536273403,2.9653073984480938,4.866451847501594,-0.14066273866646928,-0.08426181533745492,180,1.3250920413292675,5.30036816531707,46,46,0,1.0,13442.134828078642,0.0023803625265446256,10.0,0,0.00023484374430647175,0.002609308787613792,0.003601741206520481,0.0059533005985769665,0.0
O1,LAMBDAMART,ABLATION,WITHOUT_vol_63,3,186,0.048643198236761775,0.13394842338272545,0.6666666666666666,0.546039478936288,0.04401916672780049,0.4456644402080121,1.5508342209905415,2.7098395645176425,5.105614544899163,-0.13748371736713283,-0.08953886585536619,180,1.3091118712812555,5.236447485125022,46,46,0,1.0,12807.739581436252,0.002465239261818404,10.0,0,0.00047616000918142515,0.0040832811551839805,0.005580155881783376,0.01940153587895933,0.0
O1,LAMBDAMART,FEATURE_NOISE,MILD,3,186,0.06866238565933878,0.051423634266268,0.6666666666666666,0.6123536172766805,0.06865701574246856,0.5656539300529108,1.9574183800525842,3.5632879548216163,5.590900925017649,-0.09205753643838288,-0.07397121399350659,180,1.108766192621185,4.43506477048474,42,42,0,1.0,14811.825030214033,0.003611004984333974,10.0,0,0.00039090357521365336,0.004129502917647852,0.007281048208059674,0.015042210308015435,0.0
