outer_fold,horizon_sessions,selected_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O1,20,False,0,777,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,3.029925776605369,5.961999867490877,6.998085531405277,-0.09240039908616127,181,0.9707136047503667,2.9121408142511003,0,0
O1,20,False,30,777,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,3.007316045984643,5.907677884621293,6.9510172866584865,-0.09267718107280454,181,0.9716614152163222,2.9149842456489665,0,0
O1,20,False,50,777,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,2.992265633791389,5.871584420191569,6.918037213114038,-0.09330296101739499,181,0.972296273716025,2.916888821148075,0,0
O1,20,False,100,777,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,2.954719170746892,5.781774339875372,6.830217666933548,-0.098302961017395,181,0.9738939796071139,2.9216819388213415,0,0
O1,40,True,0,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.9011779121920833,5.654283113613678,7.016211322026645,-0.08393407335736647,181,0.9035348483546995,2.7106045450640988,0,0
O1,40,True,30,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.8808562710085184,5.606072588911541,6.968850219378628,-0.08418572578885086,181,0.9043761320606788,2.7131283961820363,0,0
O1,40,True,50,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.867326741705035,5.574030326667332,6.935852090137447,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O1,40,True,100,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.833566714645796,5.494267588809689,6.848592614063499,-0.09064061471639362,181,0.9063565286496512,2.7190695859489535,0,0
O1,60,False,0,659,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.628318228810016,5.015314051284792,6.227692603457944,-0.17420447708859776,181,0.9507137023929045,2.8521411071787135,0,0
O1,60,False,30,659,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.607966399775392,4.968389540372665,6.186807957090102,-0.17447614216861473,181,0.9516176038052859,2.854852811415858,0,0
O1,60,False,50,659,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.5944183802824368,4.937209818100224,6.158215199351788,-0.17465822569772538,181,0.9522229396676966,2.8566688190030898,0,0
O1,60,False,100,659,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.5606178364054903,4.859621532260923,6.082232601898798,-0.17511689106092643,181,0.9537459516005766,2.86123785480173,0,0
O2,20,False,0,1029,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.3511539297662107,2.2879234778026003,2.949662488241175,-0.21685439132042994,181,1.3800205451932512,4.1400616355797535,0,0
O2,20,False,30,1029,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.329702646341838,2.2462330269285435,2.9168624756633634,-0.21738559732002039,181,1.381540533525391,4.144621600576173,0,0
O2,20,False,50,1029,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.3154511387974717,2.2186183515084132,2.894372145699454,-0.21774118284134325,181,1.3825600347920328,4.147680104376098,0,0
O2,20,False,100,1029,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.2799948781881425,2.1502053931054945,2.836064834833258,-0.21863525692873698,181,1.3851306985816805,4.155392095745041,0,0
