target_family,horizon_sessions,usable_observations,candidate_observations,coverage_pct
BETA_RESIDUAL,20,1756,1763,0.9960294951786727
BETA_RESIDUAL,40,1666,1677,0.9934406678592725
BETA_RESIDUAL,60,1538,1677,0.91711389385808
RAW,20,1756,1763,0.9960294951786727
RAW,40,1666,1677,0.9934406678592725
RAW,60,1538,1677,0.91711389385808
SECTOR_RELATIVE,20,1756,1763,0.9960294951786727
SECTOR_RELATIVE,40,1666,1677,0.9934406678592725
SECTOR_RELATIVE,60,1538,1677,0.91711389385808
VOL_SCALED,20,1756,1763,0.9960294951786727
VOL_SCALED,40,1666,1677,0.9934406678592725
VOL_SCALED,60,1538,1677,0.91711389385808
