symbol,sector
AEFES.IS,XUSIN.IS
AGHOL.IS,XUSIN.IS
AGROT.IS,XU100.IS
AKBNK.IS,XBANK.IS
ALARK.IS,XUSIN.IS
ALFAS.IS,XUSIN.IS
ALVES.IS,XUSIN.IS
ANSGR.IS,XU100.IS
ARCLK.IS,XUSIN.IS
ASELS.IS,XUSIN.IS
ASTOR.IS,XUSIN.IS
BIMAS.IS,MINI_PERAKENDE
BINHO.IS,XU100.IS
BIZIM.IS,MINI_PERAKENDE
BRSAN.IS,XUSIN.IS
BSOKE.IS,XUSIN.IS
CANTE.IS,XUSIN.IS
CCOLA.IS,XUSIN.IS
CIMSA.IS,XUSIN.IS
CLEBI.IS,XUSIN.IS
CVKMD.IS,XUSIN.IS
CWENE.IS,XUSIN.IS
DOAS.IS,XUSIN.IS
DOHOL.IS,XUSIN.IS
ECILC.IS,XUSIN.IS
EKGYO.IS,XU100.IS
ENKAI.IS,XUSIN.IS
EREGL.IS,XUSIN.IS
EUPWR.IS,XUSIN.IS
FORTE.IS,XU100.IS
FROTO.IS,XUSIN.IS
GARAN.IS,XBANK.IS
GENTS.IS,XUSIN.IS
GESAN.IS,XUSIN.IS
GOKNR.IS,XUSIN.IS
GUBRF.IS,XUSIN.IS
HALKB.IS,XBANK.IS
HEKTS.IS,XUSIN.IS
INVES.IS,XU100.IS
ISCTR.IS,XBANK.IS
ISGYO.IS,XU100.IS
KBORU.IS,XUSIN.IS
KCAER.IS,XUSIN.IS
KCHOL.IS,XUSIN.IS
KONTR.IS,XUSIN.IS
KORDS.IS,XUSIN.IS
KRDMD.IS,XUSIN.IS
LOGO.IS,XU100.IS
MAVI.IS,XUSIN.IS
MGROS.IS,MINI_PERAKENDE
MIATK.IS,XU100.IS
MOGAN.IS,XUSIN.IS
MTRKS.IS,XU100.IS
ODAS.IS,XUSIN.IS
ONCSM.IS,XUSIN.IS
OTKAR.IS,XUSIN.IS
OYAKC.IS,XUSIN.IS
PASEU.IS,XU100.IS
PETKM.IS,XUSIN.IS
PGSUS.IS,XUSIN.IS
PLTUR.IS,XU100.IS
REEDR.IS,XU100.IS
SAHOL.IS,XBANK.IS
SASA.IS,XUSIN.IS
SDTTR.IS,XUSIN.IS
SELEC.IS,XUSIN.IS
SISE.IS,XUSIN.IS
SKBNK.IS,XBANK.IS
SOKM.IS,MINI_PERAKENDE
SURGY.IS,XU100.IS
TABGD.IS,XUSIN.IS
TAVHL.IS,XUSIN.IS
TCELL.IS,XU100.IS
TERA.IS,XU100.IS
THYAO.IS,XUSIN.IS
TKFEN.IS,XUSIN.IS
TOASO.IS,XUSIN.IS
TRGYO.IS,XU100.IS
TSKB.IS,XBANK.IS
TTKOM.IS,XU100.IS
TTRAK.IS,XUSIN.IS
TUPRS.IS,XUSIN.IS
TUREX.IS,XU100.IS
TURSG.IS,XU100.IS
ULKER.IS,XUSIN.IS
VAKBN.IS,XBANK.IS
VESTL.IS,XUSIN.IS
YKBNK.IS,XBANK.IS
